day,open,high,low,close,volume,lev_buy,lev_sell,rzmr,incre,vol_,vol_sum,lev_ratio,lev_ratio_max,lev_ratio_is_max,high_max,positive_return,vol_chg
2019-12-13,18.4,18.43,17.78,18.04,14708288,525918642.0,17575.0,30121812.0,-0.012048192771084487,-14708288.0,44749246.0,0.11311506238281827,0.24572723887370082,1.0,18.51,0.08208955223880587,1.2390866299759038
2020-06-01,26.23,27.51,25.86,26.94,11458963,746821310.0,617564.0,21558701.0,0.04297328687572599,11458963.0,383620702.0,0.07050340062158075,0.14326877700004392,1.0,28.95,0.022488755622188883,0.9015250759085311
2020-12-25,18.95,19.46,18.76,19.28,6801977,1164956477.0,797213.0,8791004.0,0.024986709197235557,6801977.0,363675672.0,0.06763050518459529,0.16899122274965275,1.0,22.36,0.07173601147776187,0.2723076917317888
2021-04-08,19.55,20.15,19.32,19.85,11021189,1016913672.0,1834986.0,19017038.0,0.01690573770491821,11021189.0,406054244.0,0.08743338519893187,0.14755315881801706,1.0,21.73,0.08531317494600432,0.28257071170760995
2021-05-21,18.88,19.16,18.42,18.52,4928907,958561270.0,2133829.0,8601769.0,-0.01958708311275814,-4928907.0,400903932.0,0.0928774688991403,0.15838540512673147,1.0,19.72,0.04383282364933727,1.2914941065117769
2021-11-12,17.82,18.13,17.71,17.98,7478317,635553501.0,3146191.0,6760024.0,0.010112359550561889,7478317.0,427912677.0,0.050443633526481575,0.10985826697108693,1.0,19.1,0.04557224236147084,0.4250349475189976
2021-11-22,18.13,18.25,17.87,18.05,10013209,618772413.0,2854260.0,14024275.0,-0.008241758241758212,-10013209.0,418898009.0,0.07755135532726205,0.16477787212139872,1.0,19.1,0.10147299509001662,0.4345714447021467
2021-11-26,19.6,20.19,18.39,18.51,40701917,615516960.0,2698435.0,78995766.0,-0.06183476938672072,-40701917.0,413190825.0,0.10061360791696859,0.17712876434563557,1.0,20.19,0.08086253369272245,4.4481320794183326
2022-05-23,9.45,9.52,9.34,9.46,12238894,648585796.0,2342324.0,15716283.0,0.01393354769560573,12238894.0,113487166.0,0.13617455800434117,0.13617455800434117,1.0,10.91,,0.3344453972183472
2022-05-25,8.99,9.22,8.86,9.01,11062631,649375744.0,2335824.0,7132676.0,0.008958566629339249,11062631.0,108427458.0,0.07132234925474845,0.13617455800434117,1.0,10.09,,0.31730358968710726
