day,open,high,low,close,volume,pre_open,pre_close,down,down_cnt,vol_chg,high_max,positive_return,quant
2017-11-28,4.06,4.08,4.06,4.07,8765911,4.13,4.08,1,3.0,0.33767243541509906,4.08,0.0049261083743843415,4.186
2018-06-08,3.82,3.89,3.78,3.88,34545420,4.04,3.84,0,3.0,1.4457345804691966,4.07,0.06544502617801062,3.69
2018-08-20,3.78,3.9,3.75,3.9,35285069,3.8,3.79,0,3.0,0.42122030151223866,3.93,0.039682539682539764,3.964
2019-09-18,3.81,3.82,3.76,3.77,23215872,3.87,3.79,1,3.0,0.26940886334100833,3.8,-0.002624671916010568,3.878
2019-09-20,3.74,3.75,3.69,3.69,43941793,3.79,3.74,1,3.0,0.6962962235491306,3.8,0.016042780748662944,3.852
2020-03-20,3.07,3.1,3.04,3.06,33684427,3.12,3.05,0,3.0,0.6012445149724315,3.48,0.1335504885993486,3.3
2020-10-26,3.47,3.52,3.45,3.51,19985739,3.52,3.47,0,3.0,0.3020520095614394,3.5,0.008645533141210304,3.588
2020-12-17,3.27,3.37,3.26,3.36,42242928,3.3,3.27,0,3.0,0.20767061479071058,3.53,0.07951070336391441,3.418
2021-11-12,3.52,3.56,3.5,3.5,68207029,3.58,3.51,1,3.0,0.2302620539322089,3.76,0.06818181818181812,3.958
2022-03-16,3.48,3.61,3.41,3.59,86348370,3.68,3.41,0,3.0,0.3811337702482942,3.78,0.08620689655172398,3.986
2022-05-18,3.69,3.86,3.68,3.8,89732306,3.8,3.68,0,3.0,0.5564507815907183,,,3.476
