day,open,high,low,close,volume,lev_buy,lev_sell,rzmr,incre,vol_,vol_sum,lev_ratio,high_max,pre_close,postive_return,chg1,chg,chg_max,vol_chg,vol_chg_max,vol_chg_comp
2019-12-30,9.23,9.41,9.06,9.38,21543048,153537455.0,10000.0,21718068.0,0.005359056806002238,21543048.0,181227855.0,0.10916342161140992,11.48,9.33,0.24377031419284934,0.01625135427952329,0.005359056806002238,0.051933701657458364,1.5743248455265983,0.5614363166248488,2.8041022621957685
2020-02-05,9.75,10.2,9.74,9.86,31846690,252881114.0,0.0,38200243.0,0.021761658031087983,31846690.0,462228317.0,0.12031136851489777,11.06,9.65,0.13435897435897437,0.011282051282051286,0.021761658031087983,0.09990485252140813,9.211281388827626,0.9082338725635384,10.141970771061747
2020-04-30,8.56,8.98,8.56,8.88,20459879,216136730.0,0.0,8010488.0,0.032558139534883956,20459879.0,601442211.0,0.04464330308343634,9.16,8.6,0.07009345794392519,0.03738317757009346,0.032558139534883956,0.060109289617486406,1.545008142349662,0.43874573011149987,3.5214203496795835
2020-06-24,9.4,10.08,9.34,9.74,52193461,230288265.0,1600.0,83970437.0,0.040598290598290676,52193461.0,666561190.0,0.16568801200972108,11.83,9.36,0.25851063829787235,0.03617021276595733,0.040598290598290676,0.06484641638225264,2.783587998873091,1.0115052482483007,2.7519264024518297
2020-07-29,11.15,12.1,11.05,11.97,47535919,209244367.0,24500.0,63439519.0,0.06875000000000009,47535919.0,849675481.0,0.11529672925270221,13.05,11.2,0.17040358744394624,0.07354260089686093,0.06875000000000009,0.06126126126126119,1.2261578411176206,0.4266735860524459,2.873760835447882
2020-11-24,11.57,12.16,11.49,11.94,33458264,316039450.0,22100.0,50198886.0,0.02665520206362837,33458264.0,926174854.0,0.12687893555313864,12.95,11.63,0.11927398444252368,0.03197925669835766,0.02665520206362837,0.0364444444444445,0.754516942898001,0.37633849693737176,2.0048890800123584
2020-12-18,12.61,13.24,12.49,13.12,45565016,297582527.0,15600.0,68400918.0,0.052969502407704594,45565016.0,971016402.0,0.11668649981070826,14.54,12.46,0.15305313243457563,0.04044409199048382,0.052969502407704594,0.07044673539518898,1.4585481041636172,0.4243071103730329,3.4374821173308248
2021-04-16,10.58,10.85,10.53,10.7,10462878,337907250.0,14000.0,8602060.0,0.01807802093244515,10462878.0,1022867330.0,0.07690836892080562,11.39,10.51,0.07655954631379958,0.011342155009451682,0.01807802093244515,0.0257633587786259,0.8520526710364944,0.42074738595683936,2.0250932019430268
2021-05-10,11.32,11.95,11.32,11.88,30260567,336078148.0,8600.0,28825249.0,0.06166219839142095,30260567.0,1070301567.0,0.0818709101947887,12.45,11.19,0.09982332155477014,0.049469964664311084,0.06166219839142095,0.021853146853146876,1.3788245104189385,0.5567193181448058,2.476696003676845
2021-06-11,12.0,12.18,11.93,12.07,16488486,351072681.0,14000.0,20887608.0,0.010887772194305034,16488486.0,1108027818.0,0.10508499644792137,12.72,11.94,0.06000000000000005,0.005833333333333357,0.010887772194305034,0.04097646033129898,2.1795313768875078,0.24616513344305724,8.853940224608111
2021-06-24,12.56,12.72,12.3,12.7,19186697,340228956.0,14000.0,29995208.0,0.0151878497202238,19186697.0,1165628170.0,0.12496671424034203,13.47,12.51,0.07245222929936301,0.011146496815286566,0.0151878497202238,0.05126050420168071,1.936502123785083,0.5671428473300946,3.4144874309910485
2021-07-08,13.12,13.47,12.97,13.18,38270261,335883411.0,300.0,37994956.0,0.005339435545385296,38270261.0,1231417740.0,0.07509881196379815,15.25,13.11,0.16234756097560976,0.004573170731707377,0.005339435545385296,0.09983221476510074,2.9219319233366403,0.2884250247060671,10.130646348437935
2021-08-25,15.53,16.2,14.88,15.69,68849082,541796153.0,29600.0,196639220.0,0.048096192384769365,68849082.0,1479019380.0,0.1837896177140962,20.17,14.97,0.2987765614938829,0.010302640051513157,0.048096192384769365,0.04685314685314679,0.9829109359065371,0.3074875286274119,3.196587973158247
2021-11-17,17.9,18.78,17.7,18.7,39399011,1029410408.0,364725.0,75450581.0,0.04469273743016755,39399011.0,2046890826.0,0.10499108749112793,23.97,17.9,0.3391061452513966,0.04469273743016755,0.04469273743016755,0.04412678682411442,0.5907897121168977,0.23499100794565353,2.514094974449107
2022-02-10,20.38,21.14,20.17,21.0,25491288,1161433921.0,185200.0,62644903.0,0.024390243902439046,25491288.0,2230854085.0,0.11897857473895085,26.09,20.5,0.28017664376840035,0.03042198233562332,0.024390243902439046,0.07105538140020906,1.0261076012202617,0.3079885515206827,3.3316420242047675
