,count,mean,std,min,25%,50%,75%,max,总市值,流通市值
000001,49.0,0.04722992937711234,0.05620391777698845,-0.0382034073309242,0.008174386920980936,0.030922142462727953,0.09851088201603653,0.16962305986696236,2877.8976539579,2877.8388903798
000002,44.0,0.062114932866847,0.057636673801274844,-0.02647723603487251,0.014988728817950991,0.05783356144498353,0.08877407967725665,0.24930362116991667,2133.2578936598,1783.1710611970002
000006,47.0,0.06755254995111236,0.07010974754728864,-0.03400309119010814,0.019267894267894325,0.040219378427788,0.08588748862391826,0.2402044293015333,58.859785808000005,58.859785808000005
000008,58.0,0.041501543019229,0.06772445888173582,-0.02857142857142847,0.008548914659530171,0.024331685948556614,0.049646749720291095,0.29380053908355785,67.5733287642,65.4626025668
000009,51.0,0.0713966810781261,0.08487135473273594,-0.02818270165208936,0.025658110920442456,0.05921787709497228,0.08925834701696778,0.4946524064171123,307.70023389560004,304.3856454395
000012,56.0,0.06139844849775934,0.0695229761108226,-0.03940217391304346,0.012496100507642882,0.0533464011810828,0.08843135791976597,0.29085603112840475,189.46170534470002,120.7213731795
000016,48.0,0.06422257560629593,0.06300850679615459,-0.027368421052631597,0.01613882395660765,0.04668921616987287,0.102262748082665,0.19932432432432434,125.69474524549999,83.3411751103
000021,48.0,0.09069987179930343,0.13716032772002615,-0.05823068309070545,0.020966836488313767,0.04996856300407604,0.10418826330911662,0.7124681933842238,168.5434624806,168.4814503915
000025,48.0,0.07122316848763667,0.06720224714596539,-0.016597510373444035,0.024769330351888885,0.06277041032941233,0.08797147558615448,0.3312836279784781,54.1409268008,49.332958640200005
000027,48.0,0.06518132643608938,0.11643703679948486,-0.06833333333333336,0.014776832398517015,0.028659003831417618,0.060131881934268216,0.6181506849315068,289.2493032632,289.2493032632
000028,48.0,0.04603265326593836,0.05256887101312853,-0.04561939301393392,0.011743028212554185,0.043633034549546146,0.07546219459649228,0.24263145484555548,122.016190155,104.804083125
000030,44.0,0.06163843696108548,0.06945041893269387,-0.045643153526971125,0.016203007518797052,0.040962776863322614,0.08263223686058607,0.2623376623376623,99.2182560281,96.5092934235
000031,49.0,0.05265597891660748,0.04719195137688674,-0.011428571428571455,0.0239520958083832,0.03762376237623766,0.08130081300813008,0.20547945205479468,164.5944285386,72.604737974
000034,46.0,0.11661861998814763,0.09732963365633358,-0.007665094339622813,0.042696606430263184,0.10299003322259137,0.19115131509565292,0.4110854503464201,98.9764853952,80.7337803906
000035,50.0,0.05147895924454378,0.05641217129531255,-0.08054711246200608,0.02046270926467314,0.033816425120772986,0.07420020120724347,0.25365853658536586,112.0557134309,108.9285360982
000036,50.0,0.05304214585375101,0.060385151478343474,-0.019736842105263164,0.014600019874788872,0.03198107981420717,0.06689339222586527,0.2404371584699454,60.5445070878,60.37074915270001
000039,47.0,0.06185735133707573,0.06330752376099297,-0.014432989690721487,0.00753797759705388,0.043764988009592276,0.09755625036207272,0.21473495058400704,475.2608061977,202.8306868785
000040,45.0,0.06527915217265536,0.07578624513851567,-0.06969205834683945,0.01787842669845041,0.057432432432432456,0.08841463414634143,0.27300613496932535,45.6470268164,32.5524578611
000046,52.0,0.05637207190623268,0.060803778322920256,-0.04881266490765168,0.010763598167120803,0.03795380713552943,0.1081437509817268,0.25903614457831314,80.5411076903,80.50075809149999
000049,41.0,0.07716242875502524,0.10103787348959589,-0.039127298954201306,0.013392857142857206,0.052707581227436906,0.12237631184407793,0.4290519877675838,113.30280000629999,112.6179303369
000050,46.0,0.04483900958940398,0.0482537249701609,-0.05111524163568759,0.016820096597305434,0.03785880492488425,0.08215073813617679,0.1711711711711712,227.83321942540002,220.23423073330002
000059,53.0,0.06536660083765568,0.0673333894693509,-0.0570987654320988,0.0175801447776629,0.04281767955801108,0.0889261744966443,0.3124999999999998,100.44499467940001,100.44499467940001
000060,47.0,0.04787185502722852,0.07271507516035183,-0.04761904761904767,0.00586094377510038,0.032943676939426236,0.070931654627014,0.3556149732620322,157.316925602,157.3027026022
000061,41.0,0.05367511022350138,0.05209868635850817,-0.022727272727272818,0.018835616438356295,0.03927986906710301,0.08532934131736525,0.22696929238985297,111.8299388223,111.82813480969999
000062,47.0,0.0516569775118829,0.046547162135064275,-0.028104575163398815,0.02049689440993796,0.047174701918092365,0.07236530443123468,0.20818505338078297,124.7769853065,124.6151715543
000063,47.0,0.0805696771956946,0.10204006553154883,-0.09975961538461542,0.008209052475843248,0.06076388888888884,0.10702272005291635,0.3708955223880597,1104.9260584088001,908.5405901517
000066,48.0,0.09510924651682277,0.10528047138421893,-0.06391478029294273,0.02896219398050448,0.05803413650443856,0.14681293139878848,0.3513513513513513,317.41863508299997,289.2946943885
000069,43.0,0.05204461065570198,0.06018437367424727,-0.025675675675675746,0.021724398034108527,0.04046997389033935,0.057556458979351355,0.2624309392265194,469.14259473,403.57770946089994
000070,60.0,0.07930013288028129,0.12414816710781829,-0.051995163240628695,0.01656759970762761,0.053476693278393106,0.11436210445760114,0.8037518037518039,46.02965264310001,45.3820259503
000078,63.0,0.05565109845594348,0.07560732560870877,-0.09793814432989689,0.011666666666666603,0.041935483870967794,0.07598653086213614,0.2623456790123455,104.2565793909,99.3434616798
000088,46.0,0.046737827524191734,0.06552164398741935,-0.10681399631675881,0.005320426018227575,0.031924465552784165,0.08156453592673035,0.27350427350427364,111.3335021866,111.3335021866
000089,54.0,0.03359680547960661,0.027713429269619193,-0.0199530516431925,0.010872781065088655,0.031128360559884438,0.05028806655241602,0.11111111111111116,129.4035548444,129.4018444559
000090,41.0,0.05906769228537534,0.05539668991307965,-0.018796992481203145,0.016728624535315983,0.048939641109298604,0.07804878048780473,0.2282282282282282,133.601000313,133.5867473598
000099,49.0,0.05172131687723148,0.049219739682912086,-0.028106508875739622,0.02063273727647874,0.04178272980501396,0.07366984993178716,0.20809248554913284,56.4760676012,51.703663390900005
000100,44.0,0.07607387973710751,0.08686630665046703,-0.04582210242587603,0.01953663134561806,0.05410394265232976,0.10761461467831523,0.4137931034482758,627.1696867812,599.8258492117
000150,60.0,0.09605009299019855,0.11297575351288154,-0.08723404255319156,0.028424516659810828,0.06467203532078036,0.1509395424836601,0.47368421052631593,13.9553914493,12.8152451168
000151,58.0,0.0776845181493743,0.07837714623761446,-0.005270092226614009,0.028144168431162797,0.052199627857522524,0.10451491720642653,0.4339622641509435,38.0554172175,30.066158765900003
000155,50.0,0.08889050380004751,0.09249519577950992,-0.037634408602150504,0.030730777898424544,0.06237232278224225,0.13431586085026825,0.4161290322580644,265.5192311801,228.4729970932
000156,44.0,0.04720509261945764,0.05032832163983839,-0.02134831460674147,0.014226286799328136,0.041335960221409174,0.05959431096305029,0.22278481012658213,138.7846356648,117.2226242318
