,count,mean,std,min,25%,50%,75%,max,总市值,流通市值
000001,34.0,0.04940667277392178,0.06075304113496568,-0.0382034073309242,0.004193968189298958,0.03113227170445687,0.09931215248156872,0.16962305986696236,2877.8976539579,2877.8388903798
000002,25.0,0.06614389125574388,0.062321125338491004,-0.02647723603487251,0.02680067001675024,0.06105144149236841,0.10862262038073922,0.24930362116991667,2133.2578936598,1783.1710611970002
000006,25.0,0.07425936482314699,0.0729397093972766,-0.0020366598778003286,0.023090586145648295,0.04525862068965525,0.11935953420669576,0.2402044293015333,58.859785808000005,58.859785808000005
000008,30.0,0.04755507935919285,0.08023987013788937,-0.02857142857142847,0.007186211635364037,0.018183320935614478,0.05774929874497753,0.29380053908355785,67.5733287642,65.4626025668
000009,24.0,0.0948089824191818,0.10979209684980364,-0.01557093425605538,0.040094307983311706,0.06009909340080122,0.10357380829384055,0.4946524064171123,307.70023389560004,304.3856454395
000012,26.0,0.10355290431350896,0.08308259284906921,0.007263922518159882,0.05123783502954843,0.08304361332847099,0.1609765438971263,0.29085603112840475,189.46170534470002,120.7213731795
000016,19.0,0.06309409313977697,0.06866532263345765,-0.027368421052631597,0.015491077169809908,0.04066985645933019,0.12177667733558784,0.19932432432432434,125.69474524549999,83.3411751103
000021,23.0,0.1204922547295891,0.16268816780935472,-0.011928429423459175,0.025589262330859897,0.061835748792270495,0.13606988789456775,0.7124681933842238,168.5434624806,168.4814503915
000025,23.0,0.06265591764574965,0.056033160675271226,-0.016597510373444035,0.02402141932446744,0.0478775913129319,0.09435993294963829,0.21791370835608959,54.1409268008,49.332958640200005
000027,24.0,0.08794127902506325,0.13690082923210384,-0.06355140186915886,0.026117803339069656,0.04997157812073871,0.08533531409168066,0.6181506849315068,289.2493032632,289.2493032632
000028,26.0,0.049584149121804505,0.058955556511311416,-0.04561939301393392,0.01755244883830026,0.04389472138704342,0.08186700334336494,0.24263145484555548,122.016190155,104.804083125
000030,17.0,0.08301381322145449,0.07920392893723051,-0.045643153526971125,0.023415977961432466,0.08108108108108114,0.16412213740458026,0.2118780096308186,99.2182560281,96.5092934235
000031,23.0,0.06291154374665398,0.053031880920846555,-0.011428571428571455,0.03144409937888204,0.04227941176470584,0.10409828884141281,0.20547945205479468,164.5944285386,72.604737974
000034,27.0,0.12123816892837047,0.0768091445945325,-0.0064102564102563875,0.05451186546585707,0.11865234375,0.19368131868131866,0.2525900345337939,98.9764853952,80.7337803906
000035,29.0,0.06086781257632157,0.06274945749712217,-0.08054711246200608,0.03131524008350728,0.04201680672268915,0.09043927648578798,0.25365853658536586,112.0557134309,108.9285360982
000036,27.0,0.061415946511442825,0.06737469300930822,-0.019736842105263164,0.017969233026292386,0.04086538461538458,0.07889200561009824,0.2404371584699454,60.5445070878,60.37074915270001
000039,21.0,0.07326266103671482,0.06340669507026715,-0.014432989690721487,0.03479236812570141,0.06174863387978147,0.10972143263217737,0.19541484716157198,475.2608061977,202.8306868785
000040,23.0,0.06469449355896435,0.08964363438985623,-0.06969205834683945,0.00014560061423796178,0.06589147286821695,0.09215252255262285,0.27300613496932535,45.6470268164,32.5524578611
000046,29.0,0.06668836874023046,0.06163228668929785,-0.0037037037037037646,0.02083333333333326,0.04823989569752274,0.10989010989010972,0.25903614457831314,80.5411076903,80.50075809149999
000049,25.0,0.08928760243956102,0.09442604836218721,-0.033295711060948086,0.016224986479177916,0.077158273381295,0.13211066210755362,0.3480392156862746,113.30280000629999,112.6179303369
000050,22.0,0.03805225587974184,0.05104550970488139,-0.05111524163568759,0.013232457161969302,0.033240059055441806,0.0676685038603414,0.16053019145802638,227.83321942540002,220.23423073330002
000059,27.0,0.06937788097465333,0.07805327825108009,-0.0570987654320988,0.017758002913729976,0.04281767955801108,0.11727942646216172,0.3124999999999998,100.44499467940001,100.44499467940001
000060,27.0,0.046831202883947924,0.0842870298931694,-0.04761904761904767,0.00586094377510038,0.028451001053740654,0.05519368723098994,0.3556149732620322,157.316925602,157.3027026022
000061,20.0,0.072644934027062,0.06380678625233953,-0.022727272727272818,0.031238003838771677,0.0674209491065968,0.09947040367242937,0.22696929238985297,111.8299388223,111.82813480969999
000062,25.0,0.05537767599739621,0.0518914941051463,-0.028104575163398815,0.020703933747411973,0.046616541353383445,0.07763023493360599,0.20818505338078297,124.7769853065,124.6151715543
000063,25.0,0.08862451633811105,0.11079586474555717,-0.09975961538461542,0.029846938775510035,0.07635467980295574,0.13891752577319583,0.3708955223880597,1104.9260584088001,908.5405901517
000066,29.0,0.1203023789980815,0.10931541050835372,-0.06391478029294273,0.048635824436536135,0.08327024981074937,0.15668202764976957,0.34969325153374253,317.41863508299997,289.2946943885
000069,21.0,0.05739546701690219,0.06401142518553123,-0.025675675675675746,0.021008403361344685,0.043243243243243246,0.07756232686980624,0.2486338797814207,469.14259473,403.57770946089994
000070,32.0,0.09759242948591733,0.16081823264769637,-0.051995163240628695,0.02313660952350116,0.055495169082125706,0.11275598674513304,0.8037518037518039,46.02965264310001,45.3820259503
000078,29.0,0.05727155260077084,0.07678013335082287,-0.09793814432989689,0.0065502183406114245,0.042183622828784184,0.09523809523809512,0.2232142857142858,104.2565793909,99.3434616798
000088,20.0,0.051902300600530325,0.08041491051128265,-0.10681399631675881,0.014214569244339892,0.04137475292108683,0.07945066235299264,0.27350427350427364,111.3335021866,111.3335021866
