day,open,high,low,close,volume,lev_buy,lev_sell,rzmr,incre,vol_,vol_sum,lev_ratio,high_max,pre_close,postive_return,chg1,chg,chg_max,vol_chg,vol_chg_max,vol_chg_comp
2018-03-09,13.92,14.46,13.87,14.37,12957810,456056349,117958,13752130,0.030846484935437513,12957810.0,152025617.0,0.07492414275348193,14.77,13.94,0.06106321839080464,0.032327586206896575,0.030846484935437513,0.03328710124826628,1.222032612287927,0.46772526256076197,2.612714578634019
2018-04-18,11.76,11.98,11.6,11.93,13536265,456087585,80800,13709567,0.02579535683576939,13536265.0,108568609.0,0.08590354479130845,12.38,11.63,0.05272108843537415,0.014455782312925214,0.02579535683576939,0.04042904290429028,0.9019600390403979,0.43163331590982257,2.089644162752341
2018-07-12,8.47,9.17,8.35,9.17,10267450,311435644,196031,16880648,0.09952038369304561,10267450.0,101984634.0,0.18768190854322603,9.72,8.34,0.14757969303423857,0.0826446280991735,0.09952038369304561,0.06186726659167607,0.9941157680645232,0.22517338638302276,4.41489016101361
2018-07-31,9.77,10.13,9.44,10.05,18619567,286969113,153346,15265533,0.04253112033195028,18619567.0,142148992.0,0.08378795006487258,10.6,9.64,0.0849539406345956,0.028659160696008268,0.04253112033195028,0.054704595185995686,2.9404642331862547,1.237877273758559,2.375408528390009
2018-09-07,8.75,8.92,8.62,8.79,3365057,264708991,91900,1763097,0.010344827586206806,3365057.0,158951910.0,0.05974260947228076,9.55,8.7,0.09142857142857141,0.004571428571428449,0.010344827586206806,0.02896995708154504,1.5323938663452523,0.48950786570904725,3.130478535060096
2018-12-04,9.58,9.76,9.52,9.69,8422382,238468410,207387,4433033,0.009374999999999911,8422382.0,196661725.0,0.054599541438603336,10.04,9.6,0.04801670146137771,0.01148225469728592,0.009374999999999911,0.053787047200878124,1.2906741790531315,0.4262404916390081,3.0280421601667777
2019-06-10,11.51,11.95,11.51,11.62,5766981,194087536,201897,4441391,0.00519031141868509,5766981.0,242398569.0,0.06565570596923333,12.56,11.56,0.09122502172024327,0.009556907037358675,0.00519031141868509,0.06168831168831168,1.3464322399523363,0.3932043191891854,3.4242559764571583
2019-07-24,11.63,12.39,11.6,12.15,30465472,209262636,161584,16443869,0.051948051948051965,30465472.0,307855716.0,0.04499827287568834,14.08,11.55,0.21066208082545135,0.044711951848667164,0.051948051948051965,0.044303797468354444,1.502067080888013,0.6091881365181848,2.4656866915910056
2020-01-17,21.7,22.35,21.4,21.95,54596015,727290246,482787,164054244,0.0013686131386860811,54596015.0,560277994.0,0.13736575064786583,23.2,21.92,0.06912442396313367,0.011520737327188835,0.0013686131386860811,0.09600000000000009,2.21575533446106,0.32401798274632365,6.838371486917728
2020-02-05,18.17,19.26,18.06,18.42,31382501,548417948,303487,65946090,0.018805309734513553,31382501.0,623996133.0,0.1126133453938964,24.76,18.08,0.36268574573472745,0.013758943313153527,0.018805309734513553,0.10015174506828528,4.796205423748647,2.21575533446106,2.1645916176549487
2020-06-02,19.35,19.96,19.1,19.6,52775880,503660361,707567,50280359,0.02833158447009465,52775880.0,818985139.0,0.04878211694481648,20.5,19.06,0.05943152454780365,0.012919896640826822,0.02833158447009465,0.09982688978649734,2.884996415308582,0.7831902488423577,3.683647006040905
2020-09-11,22.24,22.99,21.62,22.88,14737421,646919283,471324,42463792,0.03295711060948081,14737421.0,939897321.0,0.12917993338117714,24.75,22.15,0.11285971223021596,0.02877697841726623,0.03295711060948081,0.03102517985611497,0.9080471331106545,0.36242374113771836,2.5054846855785953
2021-03-22,17.94,18.31,17.89,18.09,7701400,451555868,366083,11549790,0.005558643690939391,7701400.0,937001076.0,0.08285635660417343,20.08,17.99,0.11928651059085826,0.00836120401337781,0.005558643690939391,0.030711206896551713,0.6593756383148459,0.24711036777063156,2.6683446925500105
2021-10-29,13.83,14.04,13.69,13.88,8970486,409748956,1249585,8175089,0.003615328994938549,8970486.0,915527031.0,0.06572894215042653,14.99,13.83,0.08387563268257403,0.003615328994938549,0.003615328994938549,0.04456193353474314,1.8861545699173785,0.4562031517929692,4.134461944211511
2021-12-23,16.5,17.01,16.36,16.68,29367512,475835239,614863,26056212,0.012750455373406355,29367512.0,1117203070.0,0.053176275184987694,17.33,16.47,0.050303030303030294,0.01090909090909098,0.012750455373406355,0.08212877792378448,3.943171073036045,0.3911378374428822,10.08128259545298
2022-03-16,12.1,12.28,11.52,12.22,8425313,450739368,407300,8961329,0.029486099410278133,8425313.0,1060458333.0,0.08937980786504397,12.7,11.87,0.04958677685950419,0.009917355371900971,0.029486099410278133,0.07482462977396731,1.902498379858811,0.4618794626732723,4.119036531409093
