day,open,high,low,close,volume,pre_open,pre_close,down,down_cnt,vol_chg,high_max,positive_return,quant
2018-08-02,10.15,10.18,9.8,10.0,3267345,10.29,10.18,1,3.0,0.40242589580580534,10.15,0.015000000000000124,10.318
2018-08-03,10.02,10.15,9.95,9.98,2519400,10.15,10.0,1,3.0,0.3263413123262837,10.15,0.017034068136272618,10.267999999999999
2018-08-17,9.55,9.63,9.4,9.43,3355256,9.58,9.49,1,3.0,0.3304397315743821,9.72,0.030752916224814575,9.968
2018-10-10,9.2,9.23,8.99,9.05,2699393,9.41,9.18,1,3.0,1.0297586781036872,8.88,-0.018784530386740328,9.578
2018-10-12,8.32,8.49,8.11,8.27,5443995,8.88,8.28,1,3.0,1.3708707846541794,8.43,0.0193470374848852,9.517999999999999
2019-01-30,7.85,7.96,7.81,7.86,2624561,8.01,7.9,1,3.0,0.2771162924538615,8.2,0.043256997455470625,8.144
2020-04-29,11.44,11.63,11.34,11.43,8727000,12.26,11.53,1,3.0,0.24108370577451632,13.48,0.17935258092738415,11.674
2020-10-26,12.65,12.78,12.24,12.35,10548070,13.15,12.64,1,3.0,0.7066542016635622,13.02,0.0542510121457489,13.578
2020-12-22,12.4,12.65,12.1,12.2,15150794,13.05,12.52,1,3.0,0.7399515368807592,12.3,0.00819672131147553,12.290000000000001
2021-10-29,8.45,8.52,8.39,8.42,11448500,8.6,8.49,1,3.0,0.22026715727767998,8.56,0.016627078384798155,9.276
