day,open,high,low,close,volume,vol_chg,vol_increase,vol_decrease,vol_inc,vol_dec,vol_colsum,close_chg,close_increase,close_decrease,close_inc,close_dec,close_colsum,high_max,positive_return
2018-05-18,10.23,10.48,10.12,10.36,9063155,-0.06259140689353293,0,82,0,5,-5.0,0.013698630136986134,78,0,2,0,2.0,10.52,0.02834799608993155
2018-07-23,8.48,8.74,8.47,8.71,6088371,-0.2936127244989487,0,106,0,5,-5.0,0.01871345029239757,97,0,2,0,2.0,8.9,0.04952830188679247
2018-07-24,8.77,8.8,8.62,8.72,5413720,-0.11080977161214389,0,107,0,6,-6.0,0.0011481056257174327,98,0,3,0,3.0,8.9,0.014823261117445918
2019-01-08,6.75,6.75,6.43,6.46,16054859,0.5007349038577125,142,0,5,0,5.0,-0.021212121212121127,0,144,0,1,-1.0,7.3,0.08148148148148149
2019-01-09,6.46,7.11,6.46,6.97,46700269,1.908793468693808,143,0,6,0,6.0,0.07894736842105265,153,0,1,0,1.0,7.3,0.13003095975232193
2019-01-18,6.77,6.8,6.62,6.76,9148473,-0.11413458435180479,0,166,0,5,-5.0,0.004457652303120341,156,0,1,0,1.0,7.29,0.0768094534711965
2019-04-23,10.53,10.59,10.2,10.27,14278038,-0.07508522142606866,0,201,0,5,-5.0,-0.02838221381267747,0,173,0,2,-2.0,10.68,0.014245014245014342
2019-10-08,12.88,13.0,12.38,12.6,24466210,-0.13241685292570637,0,265,0,5,-5.0,-0.004739336492891044,0,227,0,5,-5.0,13.59,0.05512422360248448
2019-10-09,12.55,12.84,12.5,12.8,24041352,-0.017365092509219804,0,266,0,6,-6.0,0.01587301587301604,245,0,1,0,1.0,13.59,0.08286852589641436
2020-02-10,14.95,15.66,14.25,15.06,162705017,0.28353985210369137,256,0,5,0,5.0,0.0516759776536313,291,0,4,0,4.0,18.98,0.26956521739130435
2020-04-27,12.96,13.02,12.6,12.86,16495131,-0.39612779496433526,0,339,0,5,-5.0,-0.008481110254433433,0,290,0,5,-5.0,15.3,0.18055555555555558
2020-06-24,15.83,16.19,15.7,15.9,52993111,-0.08942223340564714,0,363,0,5,-5.0,0.019230769230769384,337,0,1,0,1.0,17.81,0.12507896399241947
2020-06-29,15.7,16.04,15.41,15.86,41859388,-0.21009755400093422,0,364,0,6,-6.0,-0.002515723270440362,0,306,0,1,-1.0,18.14,0.1554140127388537
2020-11-16,17.69,17.72,17.33,17.44,14395602,-0.20824945913517068,0,417,0,5,-5.0,-0.013574660633484115,0,349,0,1,-1.0,17.46,-0.013001695873374852
2021-09-15,22.7,22.75,21.45,21.73,22451176,0.16603075874762907,435,0,5,0,5.0,-0.03550821127385706,0,454,0,1,-1.0,22.23,-0.02070484581497789
2021-10-22,22.85,23.1,22.73,22.79,8451304,-0.16963996133182557,0,536,0,5,-5.0,-0.0026258205689279057,0,466,0,3,-3.0,24.2,0.05908096280087527
2021-10-25,22.86,23.02,22.56,22.9,8329626,-0.01439754149182182,0,537,0,6,-6.0,0.004826678367705117,492,0,1,0,1.0,24.2,0.05861767279090113
2021-12-08,25.66,28.03,25.48,28.03,39801074,1.011990329968126,459,0,5,0,5.0,0.10007849293563575,509,0,1,0,1.0,28.81,0.12275915822291505
2021-12-09,28.0,28.81,27.31,27.52,44373806,0.11488966353018504,460,0,6,0,6.0,-0.01819479129504109,0,482,0,1,-1.0,27.92,-0.0028571428571427804
2022-03-02,23.35,23.44,23.01,23.13,11424643,-0.31508661052899145,0,582,0,5,-5.0,-0.01699957501062488,0,514,0,1,-1.0,23.35,0.0
