day,open,high,low,close,volume,pre_open,pre_close,down,down_cnt,vol_chg,high_max,positive_return
2017-09-27,31.0,31.45,29.56,30.61,5971991,31.65,31.12,1,3.0,1.7245727451069848,31.25,0.020908199934661864
2017-12-25,30.7,30.87,29.83,29.99,1036149,31.2,30.8,1,3.0,0.4454114784879488,30.23,0.008002667555851994
2018-01-15,29.23,29.43,27.77,28.74,1597065,29.3,29.23,1,3.0,1.3111537209218191,31.32,0.08977035490605445
2018-01-31,30.7,30.79,30.03,30.6,387156,30.71,30.65,1,3.0,0.4089671737389913,30.7,0.0032679738562091387
2018-02-01,30.31,30.7,29.82,29.97,624284,30.7,30.6,1,3.0,0.6124869561623738,29.97,0.0
2018-02-02,29.97,29.97,28.75,29.66,828866,30.31,29.97,1,3.0,0.32770662070467926,29.6,-0.0020229265003370855
2018-02-06,28.7,28.87,27.7,27.96,699909,29.11,28.99,1,3.0,0.7026599005517336,28.92,0.03433476394849788
2018-03-23,30.6,30.6,29.56,29.58,848640,30.9,30.71,1,3.0,0.6369107321965897,30.94,0.04597701149425304
2018-05-30,31.11,31.11,30.01,30.3,462025,31.75,31.3,1,3.0,0.32092436830639204,30.6,0.00990099009900991
2018-06-14,30.79,30.82,30.43,30.51,281099,30.8,30.79,1,3.0,0.5619735058122735,30.7,0.006227466404457482
2018-06-15,30.7,30.7,30.1,30.4,389307,30.79,30.51,1,3.0,0.38494622890867625,30.1,-0.009868421052631526
2018-06-19,30.0,30.08,29.55,29.69,1224447,30.7,30.4,1,3.0,2.145196464486896,30.1,0.013809363422027543
2018-07-23,29.6,29.93,29.32,29.7,460654,30.26,29.96,1,3.0,1.6189742510986918,30.15,0.015151515151515138
2018-08-06,28.3,28.35,27.5,28.2,598989,28.7,28.3,1,3.0,0.5793707713482643,28.21,0.00035460992907809796
2018-10-17,21.51,22.2,20.51,20.6,779685,22.18,21.59,1,3.0,2.312916671977973,20.9,0.014563106796116276
2018-12-21,25.51,25.61,25.0,25.46,594500,25.81,25.51,1,3.0,0.4711705023509032,25.99,0.02081696779261577
2019-06-03,26.14,26.28,24.42,25.38,3013073,26.95,26.15,1,3.0,1.4518674998311485,25.7,0.012608353033884967
2019-07-31,27.63,27.78,27.3,27.3,926520,27.96,27.84,1,3.0,0.3798053868584006,27.66,0.01318681318681314
2020-10-15,36.11,36.37,35.23,35.48,2309395,36.36,36.08,1,3.0,0.30862741720338227,35.98,0.014092446448703555
2020-12-09,39.75,40.15,38.42,38.46,2569924,40.61,39.75,1,3.0,0.2000326866818114,39.8,0.03484139365574612
2021-02-25,40.94,41.47,39.5,39.69,2803803,42.1,40.9,1,3.0,0.20341865301208428,39.49,-0.005039052658100118
2021-02-26,38.88,39.49,36.91,37.0,4931168,40.94,39.69,1,3.0,0.7587426791397256,39.2,0.05945945945945952
2021-04-01,36.51,37.25,36.51,36.73,1463962,36.78,36.88,1,3.0,0.5709702065922369,37.23,0.013612850530901222
2021-07-26,34.32,34.45,32.1,32.6,4926108,36.57,34.48,1,3.0,0.21913238581650019,33.09,0.015030674846625791
2021-09-14,27.62,27.86,26.2,26.46,6744191,28.5,27.62,1,3.0,0.6496813494911424,26.95,0.01851851851851838
2021-12-03,29.81,30.0,28.28,29.49,5179684,30.01,29.82,1,3.0,1.0699270406110095,29.67,0.006103763987792554
2021-12-06,29.56,29.67,28.26,28.65,6279785,29.81,29.49,1,3.0,0.2123876668924205,29.66,0.035253054101221704
2022-01-10,27.28,27.87,27.02,27.1,3668665,27.68,27.28,1,3.0,0.2657989166062864,28.1,0.03690036900368998
2022-01-26,25.51,25.79,24.49,24.7,5571086,25.87,25.5,1,3.0,0.4211319647719809,25.65,0.038461538461538325
2022-03-09,24.29,24.85,22.1,23.25,7073251,25.7,24.29,1,3.0,0.8956339522176764,25.3,0.08817204301075265
2022-03-29,21.43,21.72,20.87,21.06,3739351,21.73,21.43,1,3.0,0.29505549271560705,21.93,0.04131054131054146
