day,open,high,low,close,volume,pre_open,pre_close,vol_chg,down,down_cnt,volatility,vol_0.1,vol_test,high_max,positive_return
2017-12-29,6.36,6.57,6.36,6.52,8281328,6.34,6.42,0.5556680165746002,0,0.0,1986483.5168812245,949281.8871879289,True,7.05,0.10849056603773577
2018-02-22,6.15,6.32,6.15,6.27,5312067,6.19,6.15,1.0069771044279885,0,1.0,2461433.2241426343,2724349.0694708764,True,6.44,0.047154471544715415
2018-03-02,6.22,6.34,6.19,6.32,10406513,6.22,6.23,0.9018793062485151,0,0.0,2040031.1901364902,1374439.5594958693,True,6.55,0.05305466237942125
2018-03-16,6.34,6.35,6.16,6.19,10808010,6.45,6.39,1.1239052308388868,1,1.0,2217108.6799298325,936565.5247367029,True,6.25,-0.014195583596214534
2018-04-24,5.35,5.42,5.24,5.42,13043314,5.53,5.43,2.081486013986014,1,1.0,3936095.270009862,725290.0521426279,True,5.4,0.009345794392523477
2018-05-21,5.11,5.15,5.11,5.12,3897600,5.07,5.09,0.6497526386899501,0,0.0,581957.9283738704,437895.14574379724,True,5.16,0.009784735812133016
2019-05-14,4.74,4.9,4.7,4.89,8503027,4.78,4.77,1.293454733475405,0,0.0,1943967.8203018927,1963304.5022688117,True,5.06,0.06751054852320659
2019-05-27,4.57,4.61,4.54,4.61,4948372,4.63,4.56,1.0532663900414936,0,2.0,1139171.4372451545,1517652.7363402727,True,5.43,0.18818380743982477
2019-08-27,4.11,4.28,4.11,4.28,3703326,4.1,4.09,0.8922798406394046,0,1.0,916467.3421979109,288433.5615255876,True,4.35,0.058394160583941535
2020-02-13,3.54,3.73,3.52,3.62,8789897,3.54,3.55,1.4089816328756672,0,0.0,2389113.172992711,546826.9401614782,True,4.15,0.1723163841807911
2020-04-16,3.53,3.54,3.48,3.53,4896617,3.57,3.53,0.6945070422535211,0,1.0,943171.9368652779,742236.2684869288,True,3.56,0.008498583569405138
2020-04-30,3.37,3.41,3.35,3.4,4216378,3.39,3.4,0.6286796516730324,0,2.0,851455.7692965032,620388.2325292765,True,3.45,0.023738872403560762
2020-06-12,3.41,3.41,3.36,3.38,3392497,3.45,3.43,0.6860562897285907,1,0.0,660241.2204972513,442562.50183614716,True,3.64,0.0674486803519061
2020-08-31,3.85,3.88,3.79,3.8,9498106,3.7,3.74,1.8780822453275623,0,1.0,2581753.1071919524,841735.9292504838,True,3.94,0.023376623376623273
2020-09-18,3.72,3.81,3.72,3.8,6258780,3.72,3.74,1.1833293681552712,0,2.0,1407580.794001822,823382.2417057508,True,4.85,0.3037634408602148
2020-12-22,3.79,3.82,3.72,3.75,8757021,3.77,3.78,0.5003384619760114,0,0.0,1969751.589995819,1338215.8168369518,True,3.88,0.0237467018469657
2021-04-16,3.37,3.42,3.35,3.4,5787963,3.37,3.37,0.8339518365934666,0,0.0,1125274.1672979307,546835.2509864887,True,3.58,0.06231454005934722
2021-07-08,3.35,3.37,3.32,3.35,5555320,3.36,3.34,0.9866617029806077,0,0.0,1315886.8833454107,823180.0455122279,True,3.74,0.11641791044776117
2021-07-19,3.42,3.5,3.37,3.44,12222013,3.41,3.42,0.6049029193654665,0,0.0,2224628.262912031,751071.9826463503,True,3.82,0.11695906432748537
2021-09-10,4.09,4.5,4.09,4.5,47928421,4.08,4.09,1.8203132916394167,0,2.0,13787801.725280847,3480236.9426987143,True,5.27,0.2885085574572126
2022-01-04,3.92,4.09,3.92,4.05,18454655,3.96,3.95,0.8357514376923074,0,1.0,3508558.294076507,3675242.271321753,True,4.23,0.07908163265306145
2022-01-07,4.08,4.23,4.06,4.1,22889720,4.0,4.06,0.710691925427867,0,0.0,5244765.311159439,3504232.259686114,True,4.2,0.02941176470588247
2022-01-27,3.26,3.36,3.2,3.21,29686828,3.53,3.55,2.4030158366616297,1,2.0,9173311.522195436,3339756.9620551737,True,3.59,0.10122699386503076
2022-02-24,3.42,3.44,3.28,3.32,12480834,3.43,3.43,0.5056630500595891,1,0.0,1986957.5198021592,1816005.5861062882,True,3.47,0.014619883040935644
2022-05-13,3.26,3.53,3.26,3.45,67721294,3.26,3.29,1.4456807600360286,0,0.0,16527906.902631413,4449038.090453292,True,3.67,0.12576687116564433
