day,open,high,low,close,volume,vol_chg,vol_increase,vol_decrease,vol_inc,vol_dec,vol_colsum,close_chg,close_increase,close_decrease,close_inc,close_dec,close_colsum,high_max,positive_return
2019-01-24,3.69,3.71,3.64,3.7,5468551,-0.1942214049989487,0,195,0,5,-5.0,0.0,0,0,0,0,0.0,3.8,0.02981029810298108
2019-03-14,4.25,4.32,4.1,4.17,25404314,-0.0860415547347636,0,209,0,5,-5.0,-0.023419203747072515,0,193,0,2,-2.0,4.42,0.040000000000000036
2019-03-15,4.19,4.26,4.18,4.23,19782196,-0.2213056412387282,0,210,0,6,-6.0,0.014388489208633226,184,0,1,0,1.0,4.42,0.054892601431980825
2019-03-27,4.13,4.15,4.05,4.12,15599760,-0.3118937293498778,0,216,0,5,-5.0,0.0,0,0,0,0,0.0,4.7,0.13801452784503643
2019-12-24,3.82,3.86,3.8,3.85,10605356,-0.0948774686164312,0,308,0,5,-5.0,0.007853403141361293,268,0,1,0,1.0,4.24,0.10994764397905765
2019-12-25,3.85,3.85,3.81,3.82,8191455,-0.22761150120750306,0,309,0,6,-6.0,-0.007792207792207906,0,281,0,1,-1.0,4.24,0.10129870129870122
2020-04-27,4.27,4.42,4.25,4.42,29370517,0.23079373274268566,330,0,5,0,5.0,0.03755868544600949,309,0,4,0,4.0,4.39,0.02810304449648715
2020-04-28,4.39,4.39,3.98,4.15,38902513,0.3245430102575313,331,0,6,0,6.0,-0.06108597285067863,0,316,0,1,-1.0,4.29,-0.0227790432801821
2021-04-13,5.7,5.8,5.46,5.6,25086115,0.1339068412517812,440,0,5,0,5.0,-0.008849557522124019,0,429,0,1,-1.0,6.24,0.09473684210526323
2021-10-13,11.08,11.08,10.27,10.27,101931578,-0.06775360054590951,0,531,0,5,-5.0,-0.09991235758106931,0,483,0,2,-2.0,12.68,0.14440433212996395
2021-10-14,10.1,10.67,9.96,10.49,73771336,-0.2762661243211598,0,532,0,6,-6.0,0.02142161635832518,482,0,1,0,1.0,12.68,0.25544554455445545
2022-05-30,16.33,16.6,15.72,16.12,44927371,-0.14255920080085416,0,616,0,5,-5.0,-0.01104294478527601,0,553,0,1,-1.0,,
2022-05-31,15.41,15.5,14.81,15.31,42635594,-0.05101070792680029,0,617,0,6,-6.0,-0.050248138957816435,0,554,0,2,-2.0,,
2022-06-01,15.06,15.89,15.01,15.88,39091976,-0.08311407599950404,0,618,0,7,-7.0,0.037230568256041874,562,0,1,0,1.0,,
