day,open,high,low,close,volume,pre_open,pre_close,vol_chg,down,down_cnt,volatility,vol_0.1,vol_test,high_max,positive_return,vol_increase,vol_decrease,vol_inc,vol_dec,vol_colsum,close_chg,close_increase,close_decrease,close_inc,close_dec,close_colsum
2017-12-26,30.99,30.99,27.18,27.65,9772904,27.48,28.2,7.239805743385663,0,1.0,4046421.999799724,109550.96967060321,False,27.55,-0.11100354953210712,25,0,5,0,5,-0.019503546099290836,0,24,0,1,-1
2018-01-03,26.97,27.55,26.71,27.09,2109921,26.35,27.1,-0.07915062212032853,0,0.0,1649662.5646572385,109550.96967060321,False,27.46,0.018168335187245255,0,31,0,5,-5,-0.0003690036900370064,0,26,0,1,-1
2018-01-04,27.04,27.46,26.76,27.15,1347120,26.97,27.09,-0.3615305975910946,0,0.0,758794.2855205862,109550.96967060321,False,27.32,0.010355029585798814,0,32,0,6,-6,0.00221483942414169,30,0,1,0,1
2018-01-05,26.98,27.32,26.83,26.9,1311859,27.04,27.15,-0.026175099471465013,1,0.0,499692.8284433313,109550.96967060321,False,26.98,0.0,0,33,0,7,-7,-0.009208103130755041,0,27,0,1,-1
2018-12-11,12.82,12.89,12.72,12.79,546287,12.78,12.72,-0.21868255559671446,0,2.0,611098.4539665383,403713.6657361155,False,13.08,0.020280811232449292,0,159,0,5,-5,0.005503144654087855,129,0,1,0,1
2019-02-15,14.5,15.78,14.32,15.01,14739277,14.48,14.5,0.24296922640091578,0,0.0,6147942.571472168,156175.9217189839,False,16.58,0.14344827586206876,145,0,5,0,5,0.03517241379310354,148,0,6,0,6
2019-04-04,16.65,16.96,16.54,16.88,4462507,16.49,16.64,0.10891862401368524,0,0.0,711203.2284061443,690430.3516567794,False,17.95,0.0780780780780781,160,0,5,0,5,0.014423076923076872,169,0,5,0,5
2019-04-08,17.08,17.24,16.57,17.15,7968237,16.65,16.88,0.7855965267953642,0,0.0,1746917.2474077938,690430.3516567794,False,17.95,0.050936768149882905,161,0,6,0,6,0.015995260663506983,170,0,6,0,6
2019-05-14,15.3,15.94,15.21,15.89,2966080,15.01,15.43,0.20816446234872887,0,0.0,606500.5133923816,498049.3422932403,True,17.19,0.12352941176470589,173,0,5,0,5,0.029812054439403823,182,0,3,0,3
2019-05-29,15.61,15.62,15.28,15.3,1713140,15.45,15.61,-0.2897311729879434,0,0.0,1115091.1541561624,482193.91084848775,False,15.8,0.0121716848174247,0,217,0,5,-5,-0.01985906470211396,0,197,0,1,-1
2019-07-04,14.74,14.95,14.66,14.74,851611,14.8,14.74,-0.050120127690046035,0,1.0,325842.32946276356,432734.1195044295,False,14.85,0.00746268656716409,0,233,0,5,-5,0.0,0,0,0,0,0
2020-05-20,16.08,16.49,15.93,16.19,4635619,15.4,16.08,0.05832667448985651,0,2.0,935675.8438063514,471949.7311852556,False,18.08,0.12437810945273631,297,0,5,0,5,0.006840796019900619,300,0,2,0,2
2020-06-17,17.2,17.56,17.18,17.36,4363996,16.65,17.18,0.09208835813724181,0,1.0,628692.769667208,528159.9113585162,False,19.88,0.15581395348837201,307,0,5,0,5,0.010477299185098987,311,0,3,0,3
2021-02-10,45.0,45.09,41.8,43.8,11514183,42.78,44.8,-0.12841061456975444,0,1.0,2545452.7716277796,1759393.762248104,False,49.5,0.10000000000000009,0,429,0,5,-5,-0.022321428571428603,0,390,0,1,-1
2021-07-19,79.87,83.52,77.49,78.69,10832991,81.38,81.2,-0.060154989099333145,1,2.0,4331127.143016513,1981845.6966265577,False,102.09,0.2782020783773631,0,485,0,5,-5,-0.030911330049261165,0,439,0,2,-2
2021-07-20,77.87,80.88,76.45,80.72,7765069,79.87,78.69,-0.28320174917527396,0,2.0,4279508.489893244,2043586.8813882724,False,102.09,0.3110312058559137,0,486,0,6,-6,0.025797432964798528,460,0,1,0,1
2022-01-14,113.1,121.5,113.1,120.33,11152361,123.0,115.0,-0.0644874594039958,0,1.0,987559.4997263387,1379531.2503988694,True,131.66,0.16410256410256419,0,550,0,5,-5,0.046347826086956534,520,0,1,0,1
2022-01-17,120.0,125.0,118.0,123.02,8418555,113.1,120.33,-0.24513248808929333,0,1.0,1852483.44314823,1379531.2503988694,True,131.66,0.09716666666666662,0,551,0,6,-6,0.02235518989445695,521,0,2,0,2
