day,open,high,low,close,volume,lev_buy,lev_sell,rzmr,incre,vol_,vol_sum,lev_ratio,lev_ratio_max,lev_ratio_is_max,high_max,positive_return,vol_chg
2019-11-12,2.99,3.03,2.96,3.02,3606280,29445162.0,0.0,353835.0,0.01342281879194629,3606280.0,31474675.0,0.03276004724312956,0.32379875343658654,1.0,3.2,0.003278688524590345,0.5414804675472409
2020-06-18,2.57,2.61,2.53,2.6,18220526,98644635.0,0.0,9924896.0,0.011673151750972943,18220526.0,323080181.0,0.21194927288894325,0.2515892895793544,1.0,2.61,0.05494505494505497,2.263226734901234
2020-06-23,2.76,2.76,2.67,2.75,27419627,108512957.0,38100.0,9779347.0,-0.0036231884057970065,-27419627.0,367020971.0,0.13136463997477452,0.3436359337085282,1.0,2.79,0.03146853146853168,0.5676318221706589
2020-10-13,2.65,2.65,2.6,2.64,7467948,139347681.0,0.0,6785289.0,-0.0037735849056602655,-7467948.0,486436121.0,0.34612881610852136,0.34612881610852136,1.0,2.73,0.052000000000000046,0.38672544146758625
2021-08-10,1.77,1.78,1.75,1.77,7651683,82307210.0,21200.0,1230226.0,0.0,7651683.0,639149761.0,0.09109262602972407,0.1778205426447027,1.0,1.79,0.016666666666666607,0.4929403253857374
2021-10-26,1.85,1.87,1.78,1.79,8209800,93732574.0,2000.0,1220753.0,-0.037634408602150615,-8209800.0,745762294.0,0.08147649801757137,0.3711290740732653,1.0,1.93,0.040462427745664886,0.3300753257514977
2022-03-23,2.26,2.51,2.21,2.38,121534641,98775475.0,542000.0,18921730.0,0.043859649122807154,121534641.0,1170376664.0,0.0659703450589847,0.41913049641036926,1.0,2.51,0.3090909090909091,1.864093289925405
