day,open,high,low,close,volume,pre_open,pre_close,down,down_cnt,vol_chg,high_max,positive_return,quant
2018-02-12,8.84,9.09,8.8,8.94,13007700,9.1,8.8,0,3.0,0.7245164127265189,9.31,0.05316742081447967,9.634
2018-04-19,8.85,8.89,8.72,8.77,10950300,8.88,8.83,1,3.0,0.2271920801254943,8.97,0.013559322033898313,8.93
2018-08-16,8.34,8.41,8.28,8.3,7183753,8.63,8.4,1,3.0,0.6230300064638892,8.41,0.008393285371702586,8.4
2018-11-12,7.96,8.11,7.91,8.08,8020607,8.03,7.94,0,3.0,0.5867677218011591,8.34,0.047738693467336724,7.968
2019-03-26,9.53,9.53,9.25,9.26,13810518,9.51,9.49,0,3.0,0.5714599233439639,9.59,0.006295907660021083,9.142
2020-04-21,8.73,8.76,8.62,8.64,6988409,8.88,8.74,1,3.0,0.6542644257090453,9.06,0.037800687285223455,8.85
2020-06-08,8.92,9.03,8.9,9.0,6144493,8.93,8.93,0,3.0,0.8763257131596909,9.35,0.04820627802690569,8.74
2020-12-10,9.96,10.01,9.86,9.89,11469542,10.12,9.96,1,3.0,1.7603443521835795,10.22,0.02610441767068261,10.11
2021-11-11,11.45,11.7,11.41,11.5,11214324,11.7,11.53,1,3.0,2.2283535143271127,11.87,0.03668122270742358,12.398
2022-01-10,11.66,11.81,11.61,11.8,7563356,11.99,11.71,0,3.0,0.40717926095406143,11.96,0.025728987993139052,11.798
