day,open,high,low,close,volume,lev_buy,lev_sell,rzmr,incre,vol_,vol_sum,lev_ratio,lev_ratio_max,lev_ratio_is_max,high_max,positive_return,vol_chg
2018-05-31,7.77,7.8,7.68,7.77,7089260,1131474711,18300,12236436,0.009090909090909038,7089260.0,50134318.0,0.22300421817240873,0.40323289961616393,1.0,8.75,0.12747875354107663,0.676454751383267
2018-09-18,6.85,7.03,6.82,7.01,7839625,921047206,99400,5434871,0.023357664233576658,7839625.0,133323806.0,0.10010924208332783,0.4020071460063367,1.0,7.43,0.1831442463533226,0.4153362914469445
2019-02-26,7.08,7.27,7.03,7.11,41336222,788308090,83400,77873942,0.0028208744710860323,41336222.0,330466908.0,0.2634846604893021,0.382050395146486,1.0,7.27,0.029299363057324834,1.1390398463773916
2019-04-17,8.05,8.1,8.01,8.04,14013009,796628191,158885,25203310,0.0,14013009.0,819239709.0,0.22328555879776457,0.3555785716641924,1.0,8.37,0.1465149359886202,0.23368389572037285
2019-09-27,6.36,6.38,6.33,6.35,3891600,683333749,97300,3849679,-0.0015723270440252124,-3891600.0,748390495.0,0.15566134131097512,0.33553750571361246,1.0,6.77,0.04179566563467496,0.4969698980469106
2019-12-24,6.37,6.41,6.35,6.39,5139947,697370465,106646,10148316,0.004716981132075304,5139947.0,817592522.0,0.30946722623128814,0.30946722623128814,1.0,6.54,0.04944178628389162,0.29418190128632804
2020-07-07,6.06,6.17,5.89,5.89,34453951,645446529,76600,42200523,-0.021594684385382035,-34453951.0,988246316.0,0.2031241165406242,0.3968093403393718,1.0,6.17,0.0646853146853148,0.42049531403438745
2021-01-08,4.75,4.8,4.67,4.78,7388983,681646646,69200,9911775,0.002096436058700357,7388983.0,950145749.0,0.283300136758114,0.40726228387323266,1.0,5.14,0.1561771561771561,0.3945810452236471
2021-05-06,4.41,4.44,4.4,4.41,6362482,534633598,0,6091777,0.0,6362482.0,960877338.0,0.21661830878228613,0.3115063394002233,1.0,4.84,0.01106194690265494,2.776576451446486
2021-08-06,4.04,4.06,4.03,4.05,3249300,472869087,38500,3151663,0.0024752475247524774,3249300.0,968010234.0,0.23979020374341728,0.3604291646974936,1.0,4.37,0.02298850574712663,0.6751810626208636
2021-12-07,4.1,4.23,4.09,4.14,14070236,461417798,46600,13000535,0.022222222222222143,14070236.0,1081714594.0,0.22210918180542463,0.3467083926450905,1.0,4.23,0.05275229357798161,0.36611918844404645
