day,open,high,low,close,volume,pre_open,pre_close,down,down_cnt,vol_chg,high_max,positive_return
2017-11-17,22.9,23.18,21.5,21.83,16851611,23.42,22.99,1,3.0,0.44816872294127696,22.2,0.016949152542372836
2018-05-25,26.67,27.1,25.65,25.94,25707015,27.5,26.94,1,3.0,0.6821823638525546,26.85,0.03508095605242878
2019-11-25,28.85,28.85,27.28,27.87,21506654,29.88,28.95,1,3.0,0.27342956850725497,28.2,0.011840688912809316
2020-03-09,45.42,45.42,43.0,43.8,43328687,45.96,46.52,1,3.0,0.33843055134290845,45.49,0.03858447488584482
2020-11-25,44.44,44.98,42.5,42.8,17577254,44.8,44.44,1,3.0,0.5830054478124138,43.79,0.023130841121495438
2021-02-25,39.28,39.46,37.5,38.0,29504905,39.64,39.16,1,3.0,0.3541595527738859,37.74,-0.006842105263157872
2021-08-13,39.23,39.56,37.9,37.91,26340853,40.17,40.06,1,3.0,0.4393756940159046,39.06,0.030335003956739826
2021-12-06,32.0,32.1,31.25,31.3,20670581,32.5,32.15,1,3.0,0.5983041132325269,37.64,0.20255591054313093
2022-01-11,35.12,35.6,33.2,33.51,30197633,35.55,35.4,1,3.0,0.49220159780868333,37.18,0.10951954640405859
2022-04-11,21.16,21.37,20.45,20.55,23857992,21.76,21.42,1,3.0,0.5562042822440736,21.42,0.04233576642335768
2022-04-25,19.18,19.18,17.82,17.83,26291299,19.65,19.5,1,3.0,0.5160384211698394,18.18,0.019629837352776347
2022-04-26,17.83,17.99,16.9,16.94,35599807,19.18,17.83,1,3.0,0.3540527989887452,19.35,0.1422668240850058
