day,open,high,low,close,volume,vol_chg,vol_increase,vol_decrease,vol_inc,vol_dec,vol_colsum,close_chg,close_increase,close_decrease,close_inc,close_dec,close_colsum,high_max,positive_return
2018-05-24,33.39,33.39,33.01,33.02,895800,-0.4112300087349332,0,83,0,5,-5.0,-0.0003027550711474092,0,70,0,2,-2.0,33.44,0.001497454327642922
2018-06-26,28.6,28.97,28.09,28.71,324700,-0.16465140210959606,0,95,0,5,-5.0,0.0031446540880502027,82,0,1,0,1.0,29.42,0.02867132867132871
2018-08-09,27.21,27.76,27.01,27.51,723678,-0.3199103085071592,0,113,0,5,-5.0,0.011025358324145529,99,0,1,0,1.0,28.37,0.04263138552002932
2018-12-10,26.93,26.98,25.92,26.2,470434,-0.13889921053161447,0,157,0,5,-5.0,-0.017622797150356306,0,135,0,1,-1.0,26.88,-0.0018566654288897366
2018-12-11,26.45,26.62,26.07,26.32,298652,-0.365156430019939,0,158,0,6,-6.0,0.004580152671755711,145,0,1,0,1.0,26.88,0.01625708884688093
2019-08-22,20.8,20.99,20.72,20.95,460741,-0.030478194539428682,0,248,0,5,-5.0,0.009638554216867545,230,0,1,0,1.0,22.14,0.06442307692307692
2019-11-14,20.67,21.05,20.67,20.76,543900,-0.08198038385001127,0,278,0,5,-5.0,0.004840271055179146,261,0,1,0,1.0,22.8,0.10304789550072568
2020-04-22,20.05,20.18,19.93,20.18,746789,-0.11211233109614371,0,337,0,5,-5.0,0.00348085529587272,315,0,1,0,1.0,20.48,0.02144638403990018
2021-04-13,24.15,24.68,24.08,24.64,2472873,0.23003478396684462,386,0,5,0,5.0,0.018602728400165303,438,0,4,0,4.0,27.04,0.11966873706004133
2021-07-26,28.24,28.24,26.9,27.21,3746108,-0.04850527434439311,0,502,0,5,-5.0,-0.03749557835160944,0,439,0,5,-5.0,30.4,0.0764872521246458
2021-07-27,27.0,27.68,26.9,27.17,3133179,-0.1636175465309596,0,503,0,6,-6.0,-0.0014700477765526854,0,440,0,6,-6.0,30.4,0.12592592592592577
2021-08-12,27.5,28.18,27.35,27.84,2616942,-0.06039121911286327,0,511,0,5,-5.0,0.012363636363636354,480,0,1,0,1.0,28.3,0.029090909090909056
2022-04-06,27.76,28.98,27.76,28.38,5565979,-0.14222623798981204,0,597,0,5,-5.0,0.022702702702702693,557,0,1,0,1.0,28.44,0.02449567723342949
2022-04-07,28.21,28.44,27.4,27.46,3627012,-0.34836045913935354,0,598,0,6,-6.0,-0.03241719520789277,0,524,0,1,-1.0,27.73,-0.01701524282169442
2022-04-08,27.7,27.73,26.7,27.3,3297511,-0.09084640469896432,0,599,0,7,-7.0,-0.0058266569555717185,0,525,0,2,-2.0,27.54,-0.005776173285198527
2022-04-11,27.21,27.54,26.76,26.86,2367438,-0.2820530393985039,0,600,0,8,-8.0,-0.01611721611721617,0,526,0,3,-3.0,27.18,-0.0011025358324145973
