day,open,high,low,close,volume,lev_buy,lev_sell,rzmr,incre,vol_,vol_sum,lev_ratio,high_max,pre_close,postive_return,chg1,chg,chg_max,vol_chg,vol_chg_max,vol_chg_comp
2019-10-25,4.22,4.26,4.19,4.26,5561638,42440614.0,0.0,1988425.0,0.004716981132075304,5561638.0,-37254391.0,0.0846213176935778,4.44,4.24,0.05213270142180115,0.009478672985782088,0.004716981132075304,0.007025761124121677,1.0997717666665552,0.5047331429826488,2.178917279272786
2019-12-16,4.33,4.41,4.33,4.38,11114949,74909973.0,0.0,4589719.0,0.016241299303944468,11114949.0,46389247.0,0.09449246662026259,4.52,4.31,0.04387990762124705,0.011547344110854452,0.016241299303944468,0.011737089201877993,0.4012810300517715,0.19419842926186293,2.066345395155963
2020-07-03,3.41,3.47,3.37,3.45,23902861,120529193.0,0.0,11635399.0,0.014705882352941346,23902861.0,163732755.0,0.14233289689850923,4.08,3.4,0.19648093841642233,0.011730205278592365,0.014705882352941346,0.03658536585365857,1.2170814060911814,0.5389051169073003,2.2584335681869905
2020-10-16,3.83,4.05,3.77,4.0,41343576,163728448.0,0.0,11827117.0,0.0554089709762533,41343576.0,158564562.0,0.07316343674327735,4.37,3.79,0.14099216710182771,0.044386422976501194,0.0554089709762533,0.027397260273972712,0.8212119564789018,0.35137989386084445,2.3371057104483133
2020-11-11,3.82,4.02,3.78,3.97,39738595,196821272.0,107100.0,20229092.0,0.02849740932642497,39738595.0,161589794.0,0.1305266748023343,4.53,3.86,0.18586387434554985,0.03926701570680646,0.02849740932642497,0.046070460704606964,0.7573473457172648,0.37805598263736895,2.003267718272592
2020-12-01,3.88,3.99,3.84,3.95,20830408,218507142.0,105010.0,9895752.0,0.007653061224489832,20830408.0,190636502.0,0.12134426626269842,4.11,3.92,0.05927835051546393,0.01804123711340222,0.007653061224489832,0.03398058252427183,0.7035404925206501,0.33759528530001537,2.083976059960154
2021-01-20,4.14,4.21,4.03,4.2,68451569,273292868.0,36100.0,20475396.0,0.012048192771084265,68451569.0,459919776.0,0.07260251858769827,4.54,4.15,0.09661835748792269,0.01449275362318847,0.012048192771084265,0.10079575596816981,4.560609943266226,0.4086346217281862,11.160605834078916
2021-02-19,3.77,3.89,3.72,3.86,20232014,238332593.0,9200.0,6658704.0,0.02659574468085113,20232014.0,419960130.0,0.08649598159846517,4.25,3.76,0.1273209549071619,0.023872679045092715,0.02659574468085113,0.027322404371584508,0.7896440902648476,0.3665156436939594,2.1544621733095806
2021-04-08,3.7,3.81,3.68,3.76,21769833,268144897.0,100000.0,11736875.0,0.013477088948786964,21769833.0,486759313.0,0.1439612336953325,4.26,3.71,0.15135135135135114,0.01621621621621605,0.013477088948786964,0.011019283746556585,1.4811476549750302,0.3000129286857055,4.936946089168995
2021-05-27,4.51,4.85,4.48,4.7,121955224,334261256.0,186200.0,61550427.0,0.026200873362445476,121955224.0,677492881.0,0.10818798044327747,5.24,4.58,0.16186252771618626,0.04212860310421296,0.026200873362445476,0.08274231678486998,2.512810502040924,0.6856934920777449,3.664626441803852
2021-06-21,4.94,5.08,4.84,4.98,46903842,326370018.0,133900.0,29748208.0,0.014256619144602967,46903842.0,522109619.0,0.12787060344961,5.02,4.91,0.0161943319838056,0.00809716599190291,0.014256619144602967,0.07675438596491246,1.5635839525257191,0.33596463367132967,4.654013535410859
2021-07-08,4.33,4.46,4.24,4.43,45972229,354269929.0,80000.0,12399962.0,0.023094688221708903,45972229.0,419688646.0,0.062006259844644356,4.6,4.33,0.06235565819861422,0.023094688221708903,0.023094688221708903,0.0377777777777778,1.4606450876178751,0.4869994471986181,2.9992746316653722
