day,open,high,low,close,volume,pre_open,pre_close,down,down_cnt,vol_chg,high_max,positive_return
2018-02-06,8.8,8.8,8.28,8.29,10997892,8.94,8.88,1,3.0,0.9993724403127473,8.57,0.033775633293124496
2018-05-30,7.22,7.22,6.88,6.89,6204179,7.23,7.21,1,3.0,1.5509303801944307,7.02,0.018867924528301883
2019-03-26,8.67,8.73,8.31,8.33,19966912,8.7,8.68,1,3.0,0.39417123950378263,8.48,0.01800720288115243
2019-08-06,7.37,7.5,7.0,7.1,11820611,7.68,7.51,1,3.0,0.47277677957247066,7.17,0.009859154929577452
2019-08-26,7.03,7.05,6.96,7.0,7177817,7.23,7.15,1,3.0,0.6640115524014725,7.25,0.03571428571428581
2019-11-01,6.91,6.91,6.72,6.78,14110865,6.92,6.91,1,3.0,0.821835535906358,6.81,0.004424778761061843
2020-02-04,5.16,5.65,5.16,5.38,20643546,5.72,5.72,1,3.0,6.620356589147287,5.77,0.07249070631970245
2020-06-29,7.46,7.53,7.35,7.37,14307569,7.56,7.54,1,3.0,0.4728076194664339,8.05,0.09226594301221169
2020-09-24,7.28,7.28,7.09,7.1,5979746,7.34,7.28,1,3.0,0.5613203273481049,7.2,0.014084507042253502
2020-10-30,6.85,6.92,6.61,6.65,9422724,6.91,6.86,1,3.0,0.4186420414229113,6.7,0.007518796992481258
2020-12-09,6.7,6.72,6.65,6.66,5004726,6.72,6.7,1,3.0,0.7339049816552856,7.33,0.10060060060060061
2021-04-23,6.4,6.4,6.05,6.08,24877727,6.52,6.49,1,3.0,5.414959722336826,6.12,0.006578947368421018
2022-01-25,9.1,9.15,8.45,8.48,52148061,9.14,9.21,1,3.0,0.785596164417371,9.02,0.06367924528301883
2022-04-25,6.57,6.59,6.05,6.06,19755616,6.75,6.66,1,3.0,0.25345592179338783,6.6,0.08910891089108919
