day,open,high,low,close,volume,vol_chg,vol_increase,vol_decrease,vol_inc,vol_dec,vol_colsum,close_chg,close_increase,close_decrease,close_inc,close_dec,close_colsum,high_max,positive_return
2017-10-30,7.99,8.05,7.68,7.75,24159179,-0.1821306329366239,0,7,0,5,-5.0,-0.039653035935563796,0,7,0,2,-2.0,8.42,0.053817271589486904
2018-04-18,5.88,5.91,5.76,5.89,3165800,-0.06321702010807717,0,67,0,5,-5.0,0.008561643835616417,58,0,1,0,1.0,5.91,0.005102040816326481
2018-04-19,5.88,5.91,5.84,5.88,2216749,-0.2997823614884073,0,68,0,6,-6.0,-0.001697792869269965,0,64,0,1,-1.0,5.9,0.003401360544217802
2018-08-08,5.01,5.01,4.93,4.94,2242500,-0.42879499815456845,0,110,0,5,-5.0,-0.015936254980079556,0,104,0,1,-1.0,5.04,0.005988023952095967
2018-09-21,4.95,4.98,4.92,4.96,3974243,0.3065749511954725,111,0,5,0,5.0,0.006085192697768749,111,0,1,0,1.0,5.1,0.030303030303030276
2019-05-28,5.22,5.45,5.19,5.3,10662119,0.26595309281759527,189,0,5,0,5.0,0.015325670498084198,188,0,2,0,2.0,5.34,0.02298850574712641
2019-12-17,4.28,4.33,4.22,4.3,9079534,0.6502329801447517,258,0,5,0,5.0,0.009389671361502261,250,0,3,0,3.0,4.37,0.02102803738317749
2019-12-24,4.23,4.27,4.22,4.26,2745639,-0.27328269288133655,0,279,0,5,-5.0,0.007092198581560183,252,0,1,0,1.0,4.45,0.05200945626477527
2020-05-28,4.55,4.66,4.53,4.58,10683348,-0.1165386710753118,0,330,0,5,-5.0,0.002188183807439792,305,0,1,0,1.0,5.48,0.20439560439560456
2020-07-24,5.66,5.76,5.42,5.59,10118240,-0.11160513988945808,0,350,0,5,-5.0,-0.021015761821365997,0,302,0,1,-1.0,6.15,0.08657243816254412
2020-07-27,5.53,5.58,5.38,5.41,7840071,-0.22515467116810828,0,351,0,6,-6.0,-0.03220035778175312,0,303,0,2,-2.0,6.15,0.11211573236889705
2020-07-28,5.41,5.5,5.31,5.34,6687007,-0.1470731578833916,0,352,0,7,-7.0,-0.012939001848428888,0,304,0,3,-3.0,6.15,0.13678373382624764
2020-07-29,5.34,5.48,5.25,5.46,6299163,-0.05799964019777459,0,353,0,8,-8.0,0.022471910112359605,325,0,1,0,1.0,6.15,0.151685393258427
2021-05-11,4.47,4.66,4.47,4.64,3558820,0.16073711676451397,419,0,5,0,5.0,0.03340757238307335,409,0,1,0,1.0,4.66,0.04250559284116351
2022-04-26,4.09,4.09,3.78,3.8,17121959,-0.3928805302893842,0,574,0,5,-5.0,-0.05472636815920395,0,507,0,4,-4.0,4.35,0.0635696821515892
2022-04-27,3.71,3.88,3.66,3.84,14054693,-0.17914223483422664,0,575,0,6,-6.0,0.010526315789473717,518,0,1,0,1.0,4.35,0.1725067385444743
