day,open,high,low,close,volume,pre_open,pre_close,down,down_cnt,vol_chg,high_max,positive_return
2018-05-28,8.58,8.65,8.11,8.25,7726621,8.67,8.57,1,3.0,1.3520200298316642,8.27,0.00242424242424244
2018-07-05,5.53,5.57,5.45,5.48,4205889,5.61,5.53,1,3.0,0.21856491796344213,6.25,0.1405109489051093
2018-12-10,5.43,5.49,5.31,5.35,4347813,5.45,5.42,1,3.0,1.4467909811502326,5.45,0.01869158878504673
2019-08-06,4.56,4.66,4.37,4.56,10255406,4.68,4.66,1,3.0,0.5936862375917284,4.62,0.013157894736842257
2019-09-27,4.4,4.42,4.37,4.39,6298940,4.42,4.41,1,3.0,0.21120557540600493,4.4,0.002277904328018332
2020-02-04,3.29,3.54,3.29,3.38,31635959,3.65,3.65,1,3.0,1.5778345542400367,3.52,0.041420118343195256
2020-04-01,3.27,3.31,3.24,3.27,8082790,3.34,3.29,1,3.0,0.3674661157184189,3.34,0.021406727828746197
2020-06-15,3.28,3.3,3.23,3.24,14576281,3.3,3.32,1,3.0,0.20092923568622267,3.3,0.01851851851851838
2020-10-27,3.85,3.87,3.69,3.73,20186965,3.86,3.85,1,3.0,0.5196846439993092,3.82,0.024128686327077764
2021-06-30,4.61,4.62,4.45,4.47,30748640,4.65,4.61,1,3.0,0.4869994471986181,4.6,0.029082774049216997
2021-07-26,4.04,4.04,3.81,3.83,33432379,4.13,4.06,1,3.0,0.7769448694115526,3.85,0.005221932114882533
2021-08-20,3.33,3.34,3.23,3.3,34655823,3.42,3.38,1,3.0,0.4853877194205878,3.42,0.036363636363636376
2022-03-09,3.0,3.03,2.84,2.94,18776806,3.06,3.01,1,3.0,0.29641100264345743,3.02,0.027210884353741527
2022-04-25,3.03,3.08,2.83,2.84,48133126,3.12,3.1,1,3.0,0.8284198137845165,2.94,0.035211267605633756
