day,open,high,low,close,volume,pre_open,pre_close,vol_chg,down,down_cnt,volatility,vol_0.1,vol_test,high_max,positive_return,vol_increase,vol_decrease,vol_inc,vol_dec,vol_colsum,close_chg,close_increase,close_decrease,close_inc,close_dec,close_colsum
2017-12-12,9.27,9.27,9.2,9.22,10389167,9.27,9.26,-0.4186318745997527,0,3.0,9218481.873303736,7350447.718492734,False,9.24,-0.003236245954692518,0,22,0,5,-5,-0.004319654427645703,0,23,0,5,-5
2018-09-07,7.52,7.61,7.52,7.54,21614507,7.58,7.53,-0.11360544359964042,0,1.0,7694111.726620905,2756418.93659008,False,8.05,0.07047872340425543,0,117,0,5,-5,0.0013280212483399723,93,0,1,0,1
2018-09-10,7.53,7.55,7.48,7.5,17168872,7.52,7.54,-0.20567829745087407,0,1.0,7749120.8859886695,2756418.93659008,False,8.05,0.06905710491367878,0,118,0,6,-6,-0.0053050397877983935,0,122,0,1,-1
2020-03-26,6.53,6.62,6.49,6.55,19222994,6.53,6.55,-0.14776140663613124,0,1.0,8222943.9215174345,4910479.6833224315,False,6.62,0.013782542113323082,0,301,0,5,-5,0.0,0,0,0,0,0
2020-03-27,6.59,6.62,6.54,6.54,17575836,6.53,6.55,-0.08568686022583161,0,0.0,4534944.599366767,4910479.6833224315,False,6.57,-0.0030349013657055,0,302,0,6,-6,-0.0015267175572518665,0,301,0,1,-1
2020-07-02,6.19,6.37,6.18,6.37,53728021,6.12,6.2,0.7003310435141596,0,0.0,16344501.032112565,1850127.194149747,False,7.42,0.19870759289176076,332,0,5,0,5,0.02741935483870961,289,0,3,0,3
2020-07-03,6.37,6.52,6.36,6.51,63538897,6.19,6.37,0.1826025939053293,0,0.0,20997381.66148914,1850127.194149747,False,7.42,0.1648351648351647,333,0,6,0,6,0.0219780219780219,290,0,4,0,4
2020-07-06,6.56,7.16,6.56,7.14,132908759,6.37,6.51,1.0917700066464797,0,0.0,44016502.13695993,2048677.0829424663,False,7.42,0.13109756097560976,334,0,7,0,7,0.09677419354838701,291,0,5,0,5
2020-07-07,7.25,7.42,6.92,6.94,153034916,6.56,7.14,0.1514283720006746,0,0.0,52903175.567553625,2162675.4500860358,False,7.11,-0.0193103448275862,335,0,8,0,8,-0.028011204481792618,0,335,0,1,-1
2020-07-14,6.75,6.78,6.59,6.63,64063747,6.73,6.75,-0.0461662906891771,0,2.0,12527851.391184404,2781785.6080767065,False,6.68,-0.010370370370370363,0,334,0,5,-5,-0.01777777777777778,0,339,0,4,-4
2020-07-15,6.66,6.68,6.5,6.51,57762805,6.75,6.63,-0.09835425330335423,1,2.0,5099555.332848108,2781785.6080767065,False,6.66,0.0,0,335,0,6,-6,-0.018099547511312264,0,340,0,5,-5
2020-07-16,6.53,6.58,6.47,6.48,52351512,6.66,6.51,-0.09368127119172964,1,2.0,7099078.330604263,2781785.6080767065,False,6.66,0.019908116385911168,0,336,0,7,-7,-0.004608294930875445,0,341,0,6,-6
2020-07-17,6.5,6.53,6.38,6.43,41277216,6.53,6.48,-0.21153727135903921,1,2.0,10264944.69402805,2886663.1928180605,False,6.66,0.024615384615384706,0,337,0,8,-8,-0.007716049382716195,0,342,0,7,-7
2020-08-24,6.45,6.47,6.41,6.42,19471406,6.45,6.43,-0.13960517489896507,0,2.0,9005806.024795331,6968007.103464841,False,6.47,0.0031007751937983663,0,351,0,5,-5,-0.0015552099533436836,0,356,0,1,-1
2021-02-02,6.31,6.51,6.31,6.38,106707339,6.1,6.36,0.18092569198067054,0,1.0,37786689.58015669,2479964.6298353584,False,6.57,0.04120443740095103,395,0,5,0,5,0.0031446540880502027,345,0,3,0,3
2021-05-17,6.39,6.48,6.38,6.44,47541711,6.37,6.39,0.22192129645038983,0,0.0,8002854.897632525,1230333.005401243,False,6.5,0.017214397496087663,426,0,5,0,5,0.007824726134585402,374,0,5,0,5
