,count,mean,std,min,25%,50%,75%,max,mv_tatal,mv_on_trade
000001,15.0,0.09550523422876825,0.05973425999339989,0.020218579234972722,0.06351361718450321,0.08877551020408148,0.10416226636493175,0.23185185185185175,2877.8976539579,2877.8388903798
000002,12.0,0.08019495891167096,0.03900268804557912,0.032271241830065245,0.054782371177720224,0.07216572022241885,0.09702795389646757,0.16387158600862461,2133.2578936598,1783.1710611970002
000006,11.0,0.08410845048315964,0.07647924393466833,0.014598540145985162,0.04746452059536166,0.06621004566210043,0.07915881445948258,0.290909090909091,58.859785808000005,58.859785808000005
000008,9.0,0.0772585044601391,0.056766999709630506,0.013761467889908063,0.03375527426160341,0.05985037406483795,0.12598425196850394,0.18055555555555558,67.5733287642,65.4626025668
000009,10.0,0.13895639375507815,0.07396742417525805,0.06128133704735372,0.08943949444597088,0.11406002354030964,0.1700421415978864,0.2802013422818792,307.70023389560004,304.3856454395
000012,7.0,0.07346409901606107,0.0477065372869342,0.009615384615384581,0.049429008551211684,0.06429780033840937,0.09187968512542044,0.1577181208053693,189.46170534470002,120.7213731795
000016,5.0,0.14987167381293878,0.08883046400055594,0.06074766355140171,0.06292134831460672,0.15535444947209665,0.2079722703639515,0.2623626373626373,125.69474524549999,83.3411751103
000021,6.0,0.10019962899254631,0.05956915759539584,0.04694533762057884,0.053384697262951475,0.07794456676327788,0.1509995412019564,0.17781402936378465,168.5434624806,168.4814503915
000025,11.0,0.1353492493695542,0.07780911266835724,0.020901371652514822,0.08959771289367635,0.123780945236309,0.174309687504985,0.2671755725190841,54.1409268008,49.332958640200005
000027,11.0,0.1284512846443031,0.0688113091991721,0.042402826855123754,0.087112207298229,0.10215053763440873,0.1616256290742054,0.26145833333333335,289.2493032632,289.2493032632
000028,13.0,0.09101247667038348,0.07260414251325911,0.02567760342368053,0.04350220264317173,0.06590555267254805,0.12206823027718539,0.2901439645625694,122.016190155,104.804083125
000030,11.0,0.16148442303562624,0.16904420206113296,0.017094017094017255,0.055149646516553075,0.1170731707317072,0.18678736441333355,0.6134453781512605,99.2182560281,96.5092934235
000031,12.0,0.08255108405219995,0.04736657867090186,0.024347826086956514,0.0470833475428844,0.07855277983895359,0.10054725644259055,0.18864468864468864,164.5944285386,72.604737974
000034,7.0,0.0879920276800357,0.026883965314629048,0.046511627906976605,0.0780534906337974,0.08400569530137636,0.09722222222222221,0.1348754448398577,98.9764853952,80.7337803906
