day,open,high,low,close,volume,pre_open,pre_close,down,down_cnt,vol_chg,high_max,positive_return
2020-10-23,5.99,6.05,5.96,5.96,3154400,6.0,5.99,1,3.0,0.23397097367288655,6.25,0.04865771812080544
2021-01-26,5.94,5.94,5.66,5.74,11449966,6.11,5.95,1,3.0,0.2090800172587446,5.79,0.008710801393728262
2021-01-29,5.67,5.79,5.37,5.48,6981634,5.71,5.63,1,3.0,0.4464566480515215,5.6,0.021897810218977964
2021-09-29,6.95,6.99,6.62,6.66,12103300,7.03,7.04,1,3.0,1.1371960005424526,7.13,0.07057057057057059
2022-01-25,8.44,8.62,8.02,8.05,12286010,8.46,8.43,1,3.0,0.6470767561810908,8.26,0.02608695652173898
2022-03-15,7.02,7.1,6.6,6.62,7754095,7.05,7.06,1,3.0,0.3216681722886021,7.14,0.0785498489425982
2022-04-11,6.45,6.45,6.21,6.36,6223814,6.59,6.46,1,3.0,0.5125214466591816,6.47,0.01729559748427656
