,count,mean,std,min,25%,50%,75%,max
000001,17.0,0.09314034216934261,0.07265571348918304,0.0107936507936508,0.04153005464480852,0.06432038834951448,0.11340752517223107,0.27
000002,15.0,0.1137976240305986,0.06343256971558503,0.03200000000000003,0.061156830895816916,0.08786381109280605,0.15991863921508565,0.24864864864864855
000006,21.0,0.07445505849302958,0.06708842502336979,0.014814814814814836,0.026442307692307487,0.04646840148698894,0.1071428571428572,0.2997481108312343
000008,12.0,0.05305975936455903,0.04850570862713381,-0.004750593824227933,0.01748717826102547,0.043170538018661886,0.08967690142084189,0.14915254237288122
000009,16.0,0.16003674519194377,0.15831548537479895,0.019927536231884035,0.04011863349284561,0.11713020833333321,0.21646370723640496,0.5773195876288661
000012,22.0,0.09363112410472732,0.08414589400139806,0.018181818181818077,0.038311450689918425,0.05857695029669563,0.10042894887629722,0.3423645320197046
000016,13.0,0.13669153369659878,0.15920768933453042,0.01757188498402562,0.042276422764227606,0.06830601092896171,0.1299052774018945,0.5839017735334242
000021,10.0,0.15307623061360714,0.10860788062404687,0.033478893740902516,0.06741650012365408,0.10591181519283954,0.23040047801880165,0.3247706422018348
000025,10.0,0.10361038568012848,0.09346144352243413,0.014014014014014142,0.03376247229084922,0.06373737119668654,0.16830654127935485,0.28035859820700915
000027,22.0,0.07927945769555622,0.10943833323888084,-0.012345679012345734,0.022752125320735395,0.04824471324130819,0.09130777310924376,0.5
000028,17.0,0.05623679170737133,0.04687710556250677,0.0005725737188664315,0.0163795537983622,0.048738033072236675,0.08455882352941191,0.17419354838709689
000030,21.0,0.0915973650319842,0.12545705841281915,0.006342494714587588,0.026584867075664542,0.04761904761904767,0.08762886597938135,0.45510204081632644
000031,13.0,0.10566114205459952,0.0612342431742974,0.01304347826086949,0.07467057101024888,0.0874635568513118,0.1472,0.23149905123339676
000034,10.0,0.09745458291221012,0.08246242044193845,0.0021905805038333614,0.04977708259183644,0.07600223481209933,0.12022388390876021,0.2921348314606742
000035,7.0,0.08385299091168899,0.0630709186142802,0.02368866328257191,0.04316020240555296,0.061068702290076216,0.10533088883404451,0.2052313883299799
000036,18.0,0.11227416851206283,0.08569288106163345,0.014925373134328401,0.05307947019867537,0.09880266227528478,0.14356613250418565,0.37027027027027026
000039,22.0,0.06713176485056137,0.0485004048605606,0.007222586999343417,0.03404081945794152,0.05286122678299954,0.09294570010438197,0.17379679144385007
000040,18.0,0.11279979551874399,0.0628951168438552,0.0364238410596025,0.0675029251841146,0.08221153846153839,0.13400957661290314,0.26433121019108285
000046,19.0,0.10598715703464337,0.07571413120730851,0.017010935601457833,0.04906791142567335,0.0744336569579287,0.1492671897134139,0.256
000049,21.0,0.15252850168233043,0.08873845062056172,0.008623548922056523,0.0945017182130583,0.1385731559854897,0.20188161505292035,0.3174513673526924
000050,17.0,0.08975689936384011,0.08714249187407648,0.007830853563038254,0.04303086997193639,0.0601956358164033,0.11220889202540585,0.36773547094188364
000059,16.0,0.08385099816717871,0.057591760811814476,0.006069802731411222,0.037232630607063166,0.07554390212671847,0.11710686576831558,0.22519685039370096
000060,17.0,0.10915199417056216,0.08349554455660729,0.0194264569842737,0.050420168067226934,0.09898762654668158,0.12753036437246967,0.33773087071240115
000061,12.0,0.13486163627441525,0.14878307358687826,0.048169556840077066,0.05673076923076925,0.06883000395268934,0.10208237986270025,0.4926035502958581
000062,23.0,0.1083328651031459,0.08700249199749942,0.004255319148936287,0.0505943075114319,0.07499999999999996,0.150679331921048,0.3436880370125577
000063,19.0,0.10590630247446495,0.07518530881922861,0.007659799260433253,0.05387569199261877,0.1032098765432099,0.12130510334735689,0.32322053675612605
000066,10.0,0.17919919204449458,0.11861767374133313,0.05604719764011801,0.09043264345686924,0.1267610521202026,0.2748145780051151,0.3851851851851851
000069,21.0,0.07979383021214372,0.07780138374815287,0.009615384615384581,0.03015075376884413,0.05166666666666653,0.09620253164556969,0.33640552995391704
000070,13.0,0.12172241531684685,0.08839327263168036,0.022044088176352616,0.0388768898488121,0.13884007029876977,0.18441558441558437,0.2795454545454543
000078,18.0,0.11189350725855204,0.08943861813827969,-0.03675048355899413,0.05092451797335934,0.10474461935839807,0.1520017281105992,0.3197278911564625
000088,15.0,0.09130901967606982,0.08188473406389882,0.010152284263959421,0.040310891259957904,0.0744500846023688,0.1043043096559253,0.3046728971962618
000089,16.0,0.05032613441756951,0.04306178412357589,-0.007415254237288171,0.021485674456917736,0.05053351662738936,0.05941309174565529,0.17222222222222228
000090,23.0,0.08677519482569455,0.0808921977997303,-0.003597122302158251,0.03434060756821955,0.06645230439442651,0.10570434782608695,0.34489402697495186
000099,23.0,0.0769937732844971,0.05250487383371104,0.012121212121211977,0.0369603710215064,0.05771643663739012,0.09844431232659534,0.19088319088319095
000100,22.0,0.08519929531885262,0.05485761650600466,0.004514672686230403,0.035280898876404565,0.07966022025248454,0.1046429767250186,0.188212927756654
000150,14.0,0.14321220805761276,0.07599508471862432,0.008460236886632888,0.09350445837379706,0.1403401483159954,0.20051311387314297,0.26349206349206344
000151,19.0,0.10868114388151884,0.12592034367136726,0.016666666666666607,0.03888039365602147,0.06199770378874847,0.11245213817656163,0.5629322268326418
000155,0.0,,,,,,,
000156,14.0,0.06179994400182286,0.04246216513196211,0.009887005649717562,0.026508352979947913,0.05430451240362166,0.08745666360762733,0.1581450653983354
000157,17.0,0.08435348543801624,0.08001587268602113,0.014473684210526416,0.03170731707317098,0.06315789473684208,0.08310249307479234,0.28803716608594665
000158,12.0,0.21775602081759363,0.1583344971518814,0.05940594059405946,0.09468827635159122,0.20995100864553318,0.2672698823333054,0.5158450704225352
000159,14.0,0.13534094136570501,0.0974761561519118,0.03726708074534146,0.053231625128842164,0.11265824823631732,0.19935344827586204,0.3458528951486699
000166,13.0,0.10184750959790617,0.12850760258667815,0.024691358024691468,0.038812785388127935,0.04831932773109249,0.10114942528735638,0.47537473233404715
000301,13.0,0.1327805981799696,0.13957476248762749,0.029585798816567976,0.03265306122448974,0.0862745098039217,0.14412635735439272,0.47094801223241567
000333,17.0,0.07584208759060311,0.055978770461445566,-0.004139900071377434,0.04845869297163996,0.06146993318485516,0.09606986899563341,0.21994134897360706
000338,18.0,0.0886565761665511,0.056065203130693825,0.01449275362318847,0.03687787884984722,0.08975107117026793,0.12426028689445773,0.21618625277161874
000400,22.0,0.10190078846081993,0.06933384978440768,0.012160228898426384,0.03594608516483522,0.10544375064863198,0.15622062173239354,0.21023765996343702
000401,21.0,0.09079747998209531,0.06140605260316148,0.02278037383177578,0.047778709136630404,0.0734999999999999,0.12285714285714278,0.27072997873848337
000402,19.0,0.07052021594333832,0.06262378875235089,0.0,0.029686398872445396,0.044207317073170715,0.08863448157190035,0.22071307300509346
000403,10.0,0.1157699313444348,0.0593607817846364,0.02280130293159588,0.08187975385183893,0.12492371723847662,0.14525700756076038,0.1937523242841206
000404,22.0,0.07996531903820903,0.062191042842430246,0.029069767441860517,0.038345588235294215,0.05849481800086942,0.09974231955230706,0.30344827586206913
000413,22.0,0.10163813112576117,0.0985658057112089,0.01736111111111116,0.03754308527785344,0.07487359350519862,0.10736796348619854,0.42307692307692313
000415,18.0,0.09910415663824802,0.0706774600632499,0.013404825737265424,0.051339285714285754,0.07308893051467302,0.12045965927354546,0.28608923884514437
000417,17.0,0.06836703623578315,0.05108647564735416,0.004514672686230403,0.03736263736263745,0.057906458797327254,0.09270216962524658,0.18637992831541217
000423,23.0,0.06509353518841747,0.04604343984634155,0.019165378670788158,0.03328756279016498,0.051018771057275814,0.0805725845705535,0.2047038327526134
000425,13.0,0.09632929857417707,0.06761765500144766,0.020618556701031077,0.037634408602150504,0.08467741935483875,0.16446124763705106,0.2017937219730943
000426,15.0,0.09692223600286519,0.10285257803308198,0.021052631578947212,0.03898154411380195,0.07622739018087854,0.11157322654462243,0.4463157894736842
000488,15.0,0.06975036743266719,0.077974073737657,-0.010407632263659927,0.02383507416416275,0.0542483660130717,0.08656259058346105,0.31854199683042794
