day,open,high,low,close,volume,pre_open,pre_close,down,down_cnt,vol_chg,high_max,positive_return
2018-06-14,11.13,11.28,10.63,10.74,10396752,11.34,11.17,1,3.0,1.4469279107533715,10.78,0.003724394785847185
2018-06-19,10.33,10.5,9.6,9.97,11602136,10.7,10.5,1,3.0,0.9600086562373984,10.3,0.033099297893681046
2018-08-06,9.2,9.28,8.98,9.05,7321227,9.47,9.28,1,3.0,0.44605918131214595,9.47,0.04640883977900545
2018-10-11,8.79,8.79,8.21,8.32,8790408,9.05,8.95,1,3.0,1.5021143165531519,8.35,0.0036057692307691624
2019-10-18,8.96,8.99,8.75,8.79,3765685,9.02,8.93,1,3.0,0.3334984705624888,9.03,0.027303754266211566
2020-02-04,7.3,7.53,7.29,7.49,9476113,7.53,7.53,1,3.0,1.804911496566422,7.64,0.020026702269692942
2020-08-14,17.88,17.97,16.6,17.31,43920640,18.17,17.9,1,3.0,0.5974213514220479,19.8,0.14384748700173322
2020-10-19,15.56,16.1,15.27,15.32,16791475,15.67,15.53,1,3.0,0.29928260984454,16.08,0.04960835509138373
2020-11-02,14.25,14.38,13.65,13.9,21191389,15.0,14.36,1,3.0,0.5337249732972751,14.92,0.07338129496402868
2020-11-25,13.65,13.7,12.99,13.07,22480152,13.75,13.7,1,3.0,0.836068155238513,13.78,0.05432287681713843
2021-08-17,14.64,14.74,14.12,14.3,14316951,14.77,14.64,1,3.0,0.3044684644102209,14.44,0.009790209790209614
