day,open,high,low,close,volume,pre_open,pre_close,down,down_cnt,vol_chg,high_max,positive_return,quant
2018-06-19,18.72,19.3,17.21,19.1,10125381,19.6,19.12,1,3.0,0.39977919135986095,18.84,-0.013612565445026203,19.619999999999997
2019-04-25,12.13,12.14,11.26,11.31,14905966,12.38,12.12,1,3.0,1.7290860861776225,11.45,0.012378426171529622,12.406
2019-08-05,8.3,8.37,8.21,8.26,2893135,8.38,8.4,1,3.0,0.41684442014312406,8.16,-0.012106537530266248,8.476
2019-08-07,7.99,8.03,7.9,7.93,3219500,8.16,7.97,1,3.0,1.2948524697257473,8.0,0.008827238335435084,8.416
2019-10-21,8.12,8.12,7.9,8.01,3648050,8.28,8.13,1,3.0,0.8162411154536393,8.15,0.017478152309613026,8.31
2019-11-18,7.7,7.73,7.62,7.67,2211247,7.83,7.68,1,3.0,0.7235142765577549,8.33,0.0860495436766624,7.99
2020-10-29,8.5,8.65,8.5,8.62,3960512,8.65,8.63,1,3.0,0.20288435804312943,8.63,0.0011600928074246841,8.687999999999999
2021-10-27,8.68,8.68,8.42,8.5,5082602,8.83,8.68,1,3.0,0.4862605288648387,8.71,0.024705882352941355,8.712
2022-01-21,9.77,9.95,9.54,9.57,14477340,9.98,9.78,1,3.0,0.33378984084733454,9.74,0.017763845350052154,9.927999999999999
2022-01-26,9.25,9.38,9.05,9.15,13586587,9.55,9.23,1,3.0,0.5806725394762688,9.25,0.010928961748633892,9.927999999999999
