day,open,high,low,close,volume,pre_open,pre_close,down,down_cnt,vol_chg,high_max,positive_return
2017-11-27,5.55,5.57,5.2,5.22,2501125848,6.01,5.78,1,3.0,0.5789016099224997,5.48,0.049808429118774145
2018-04-03,5.2,5.26,5.13,5.18,597507920,5.32,5.3,1,3.0,0.3764878334647894,5.27,0.01737451737451745
2018-04-09,5.1,5.17,5.02,5.1,510986650,5.17,5.13,1,3.0,0.22847207222363974,5.29,0.0372549019607844
2018-04-18,4.94,4.96,4.4,4.65,1159564966,5.09,4.89,1,3.0,0.8243359680565545,4.74,0.019354838709677358
2018-05-25,4.23,4.24,4.1,4.12,581384899,4.27,4.24,1,3.0,0.7038702328031932,4.14,0.004854368932038833
2018-12-20,2.68,2.69,2.65,2.67,186513550,2.7,2.68,1,3.0,0.29355166538503386,2.67,0.0
2018-12-21,2.66,2.67,2.6,2.6,500316778,2.68,2.67,1,3.0,1.6824687965029885,2.65,0.019230769230769162
2019-08-02,3.93,3.98,3.88,3.93,915316226,4.03,4.04,1,3.0,0.6130586038527228,3.97,0.010178117048346147
2019-10-18,3.69,3.71,3.63,3.64,314703503,3.72,3.7,1,3.0,0.453563327878413,3.84,0.05494505494505497
2020-04-28,3.64,3.65,3.35,3.54,928137475,3.7,3.67,1,3.0,1.5058332584304561,3.83,0.08192090395480234
