day,open,high,low,close,volume,vol_chg,vol_increase,vol_decrease,vol_inc,vol_dec,vol_colsum,close_chg,close_increase,close_decrease,close_inc,close_dec,close_colsum,high_max,positive_return
2018-02-02,44.4,45.49,43.7,45.46,899261,-0.1219783438619787,0,43,0,5,-5.0,0.02019748653500897,42,0,1,0,1.0,47.14,0.06171171171171186
2019-08-08,41.72,44.68,41.72,44.3,7044325,0.4319998162311032,207,0,5,0,5.0,0.05476190476190479,220,0,2,0,2.0,49.78,0.19319271332694155
2019-08-09,44.18,48.16,44.06,46.0,9157386,0.29996642687553465,208,0,6,0,6.0,0.038374717832957206,221,0,3,0,3.0,49.78,0.1267541874151199
2020-01-08,47.4,50.0,46.6,48.85,7755161,0.008676912599667297,260,0,5,0,5.0,0.03803654908627285,270,0,3,0,3.0,51.83,0.09345991561181433
2020-07-06,36.3,38.36,36.3,37.52,15925292,0.15051626709867016,320,0,5,0,5.0,0.04164353137146026,332,0,3,0,3.0,40.6,0.11845730027548229
2021-03-16,26.94,27.18,26.66,27.13,1440971,-0.1639298986658002,0,430,0,5,-5.0,0.017629407351837934,413,0,1,0,1.0,27.49,0.020415738678544848
2021-09-17,24.9,25.14,24.66,25.02,2932552,-0.10631398922171309,0,499,0,5,-5.0,0.0007999999999999119,475,0,1,0,1.0,25.55,0.026104417670682833
2021-09-22,24.7,24.98,24.65,24.83,2187502,-0.25406199105761806,0,500,0,6,-6.0,-0.007593924860112011,0,481,0,1,-1.0,25.97,0.05141700404858307
2022-05-23,22.43,22.68,21.83,22.11,2881515,-0.0736161862184126,0,579,0,5,-5.0,-0.01382694023193587,0,564,0,1,-1.0,26.41,0.17744092732946948
