,count,mean,std,min,25%,50%,75%,max
000001,15.0,0.06992856644895862,0.06017058338443642,0.01403508771929829,0.027142097128406095,0.04607843137254908,0.07532081049454953,0.19999999999999996
000002,12.0,0.06415783857485587,0.05632589156354336,0.020142949967511203,0.03612342007434949,0.04757206262303448,0.06262248827166111,0.22989593188268675
000006,11.0,0.06163385861349821,0.052663230093835785,0.010771992818671361,0.022454612804805096,0.04190476190476189,0.08781181985601882,0.17430025445292618
000008,9.0,0.047753170322029054,0.07295851146398574,0.004608294930875667,0.01834862385321112,0.022058823529411686,0.03056768558951961,0.23906705539358586
000009,10.0,0.08914608382423053,0.05678652594735061,0.016666666666666607,0.04103071809512643,0.0897283227590695,0.12129927594529355,0.20317460317460312
000012,7.0,0.05726957352289957,0.03713473974297086,0.021956087824351433,0.03217354448426013,0.04868154158215021,0.06830303030303031,0.12929623567921444
000016,5.0,0.08601748260707623,0.06373912855767006,0.018604651162790642,0.060882800608828,0.07282913165266103,0.08735632183908071,0.19041450777202074
000021,6.0,0.08515086496847042,0.06640176121198818,0.04225352112676073,0.044247882527713334,0.05670391638436745,0.09045291898752028,0.2134453781512604
000025,11.0,0.05386291521944398,0.03284334392557294,0.011611704598235129,0.030050969037447417,0.05245231607629419,0.07357437930206101,0.10599078341013835
000027,11.0,0.07921832473976953,0.0393133563120075,0.023423423423423406,0.04968398981578559,0.0714285714285714,0.10201785495903137,0.1454965357967668
000028,13.0,0.07341280117748927,0.05545209083945918,0.02049818370524137,0.031362467866323795,0.040576301087915434,0.13363606876419087,0.1696174863387978
000030,11.0,0.10152640480446116,0.13722382875865957,0.007389162561576512,0.01713838612637464,0.040909090909091006,0.13644075179127557,0.47126436781609193
000031,12.0,0.043517030263858,0.03778329743676643,0.005524861878453136,0.02062090954403606,0.033241391252721186,0.04701821830534697,0.142605633802817
000034,7.0,0.051987593490997144,0.046344645189689164,0.013333333333333197,0.017094669171816346,0.03741935483870962,0.07401946226573697,0.13093220338983058
000035,8.0,0.07144061602039894,0.06655891640806559,0.006134969325153339,0.020722958057395047,0.04145120581128703,0.12624642909272904,0.1816443594646271
000036,9.0,0.05221745441994415,0.03444393854452598,0.021052631578947212,0.021621621621621623,0.05641025641025643,0.06593406593406592,0.12042682926829262
000039,11.0,0.05623418677231894,0.03936132857742461,0.004032258064516014,0.023714344286299927,0.0643015521064303,0.08491414605096659,0.11098398169336399
000040,8.0,0.08596413334349445,0.06004104544912107,0.03416149068322971,0.051061602870813405,0.06144262195630579,0.1079627422693345,0.2162554426705372
000046,12.0,0.08966554443759404,0.07059362279494369,0.03185595567867039,0.05702663702273569,0.07127647503782142,0.07979944886711571,0.29000000000000004
000049,11.0,0.17618797701161693,0.19645942647637898,0.013812154696132506,0.07731791492025397,0.14388092613009928,0.16800184975697174,0.7305375347544023
000050,9.0,0.05850841756242361,0.04695992447480615,0.015670342426001183,0.01912777352716133,0.049228508449669306,0.07195845697329362,0.15408805031446549
000059,15.0,0.05368316225386423,0.05296154545105388,0.00990099009900991,0.017166279212039615,0.04018912529550822,0.05572626835690442,0.195266272189349
000060,12.0,0.0702134023026403,0.06619070956751924,0.01014198782961473,0.02816789153998467,0.05235998142572529,0.08776614010988998,0.248081841432225
000061,11.0,0.0934589925196918,0.09205021420246094,0.01715265866209248,0.026351135349718224,0.059428571428571386,0.14594936708860762,0.3178694158075601
000062,14.0,0.05719573271886157,0.03604548080308371,0.010227272727272751,0.023101008415629898,0.05173406489195953,0.08946315837454694,0.11434735706580379
000063,14.0,0.06654404362081759,0.047178975674828295,0.0,0.03681036408309135,0.05844345822155805,0.09022007703870744,0.18718905472636838
000066,7.0,0.04668841306549936,0.02520113259436275,0.0,0.037643508228144995,0.050000000000000044,0.06419595011144319,0.0731399747793191
000069,13.0,0.04955624918712719,0.028268311089687907,0.011065006915629283,0.025174825174825166,0.046052631578947345,0.0645645645645645,0.11538461538461542
000070,10.0,0.07637541000868378,0.05656966478727547,0.00790861159929701,0.02802981147681244,0.07083699760496975,0.11727241669294647,0.1590476190476191
000078,7.0,0.07900531093719658,0.033223738223261634,0.02102102102102088,0.0631925319679868,0.09234234234234218,0.09642539652833004,0.12043795620437936
000088,10.0,0.08091534701580623,0.08334726354060698,0.021400778210116878,0.031116119026848965,0.042942037861658955,0.08824500552370257,0.276073619631902
000089,12.0,0.05113689307207473,0.04963039577546068,0.0074349442379182396,0.022640938646406816,0.03420135340736197,0.06855538715899684,0.18484848484848482
000090,12.0,0.06470349582755282,0.04446249577645493,0.0037037037037037646,0.03820978974152933,0.0594835567363039,0.07994194326909626,0.14328063241106737
000099,7.0,0.03880272733044759,0.03925853108933094,0.009419152276294973,0.01185543678841261,0.016393442622950838,0.05360444572273815,0.11488673139158578
000100,13.0,0.053337775431340474,0.03370376608890222,0.010152284263959421,0.03281249999999991,0.05785123966942152,0.07057057057057059,0.13424657534246576
000150,6.0,0.13375715921113238,0.03340006464077113,0.08683473389355734,0.11502174250660036,0.13475177304964536,0.15338696081850955,0.17816091954022983
000151,14.0,0.09736650629249266,0.07784822927078003,0.026631158455392878,0.04633202148716514,0.073446342977593,0.09481083458612061,0.29032258064516125
000155,0.0,,,,,,,
000156,8.0,0.04939815164902123,0.024584242770588825,0.009487666034155628,0.03635482461535855,0.049132264623823696,0.06475724194206434,0.08937823834196901
000157,16.0,0.07733318930592835,0.07447918128508432,0.0,0.02305458768873403,0.05052565630634753,0.10982044484230813,0.2590579710144929
000158,3.0,0.08953659541894836,0.11869078176968159,0.0,0.022222222222222254,0.04444444444444451,0.13430489312842253,0.22416534181240055
000159,6.0,0.10947613897915982,0.041793064165387,0.08032786885245913,0.08137560975609753,0.09183806228373692,0.11880872017623839,0.18716577540106938
000166,6.0,0.04731798045986505,0.032778586602767994,0.0066225165562912025,0.02656859269762496,0.04919627298268081,0.056719925745031485,0.10063897763578278
000301,6.0,0.049743097887389696,0.042019146726182455,0.014112903225806495,0.020452251552794953,0.02894561068702295,0.08625972619293248,0.10346889952153115
000333,17.0,0.04680733151339241,0.02782476548439026,0.01277372262773735,0.022413793103448265,0.04897290860375092,0.061949417448138755,0.11134676564156942
000338,17.0,0.05677050541511657,0.04580893180332273,0.0014104372355430161,0.01540284360189581,0.06140350877192957,0.08270676691729317,0.16603773584905657
000400,14.0,0.0979134138859138,0.055738765139579996,0.020351526364477124,0.04949441803645499,0.09854615668569155,0.1386306670015921,0.19577735124760065
