day,open,high,low,close,volume,pre_open,pre_close,down,down_cnt,vol_chg,high_max,positive_return
2017-12-27,16.13,16.17,15.72,15.79,41930655,16.29,16.12,1,3.0,0.5619617336900942,15.88,0.005699810006333239
2019-02-21,16.23,16.3,16.07,16.1,17472576,16.27,16.24,1,3.0,0.5564217696249256,16.5,0.024844720496894235
2019-03-12,16.45,16.63,16.28,16.35,37772272,16.57,16.47,1,3.0,0.3819293947165765,16.4,0.003058103975535076
2019-06-14,17.73,17.77,17.36,17.5,26880550,17.91,17.67,1,3.0,0.35741815865146487,17.89,0.022285714285714242
2019-07-18,17.48,17.94,17.31,17.72,30017980,18.16,18.09,1,3.0,0.9476260947293833,18.3,0.03273137697516937
2019-09-02,18.56,18.66,18.35,18.38,32398900,18.88,18.62,1,3.0,0.9742621812913173,18.75,0.020130576713819348
2020-02-26,17.05,17.14,16.99,17.0,32040301,17.34,17.18,1,3.0,0.6678478395691205,17.41,0.024117647058823577
2020-04-10,17.06,17.12,17.0,17.05,12450939,17.21,17.06,1,3.0,0.7430063121467878,17.32,0.015835777126099737
2020-05-07,17.18,17.18,17.0,17.03,31859442,17.31,17.24,1,3.0,0.25900582322126353,17.35,0.01879036993540817
2020-09-24,19.84,19.84,19.33,19.4,54987007,20.21,20.01,1,3.0,1.040070175704161,19.5,0.005154639175257714
2020-09-25,19.5,19.5,18.62,18.86,76887414,19.84,19.4,1,3.0,0.398283307182004,19.28,0.022269353128314018
2022-02-24,22.84,23.03,22.54,22.66,41480293,22.9,22.8,1,3.0,0.5796759821065256,23.38,0.031774051191526764
2022-03-15,22.39,22.4,21.03,21.15,76119235,22.42,22.5,1,3.0,0.6911813029007694,22.63,0.06997635933806157
