day,open,high,low,close,volume,pre_open,pre_close,down,down_cnt,vol_chg,high_max,positive_return,quant
2017-10-19,9.79,9.79,9.68,9.69,12950676,9.85,9.77,1,3.0,0.2267055313908246,9.76,0.007223942208462342,9.867999999999999
2017-11-20,9.37,9.38,9.26,9.32,11599099,9.5,9.38,1,3.0,0.6004327883962328,9.54,0.023605150214592197,9.588
2018-02-01,9.13,9.24,9.02,9.09,30437499,9.27,9.11,1,3.0,2.829250389848594,9.42,0.03630363036303641,9.134
2018-03-26,8.38,8.44,8.24,8.41,7911296,8.57,8.42,1,3.0,2.1964117309747073,8.54,0.01545778834720557,8.746
2018-12-21,7.26,7.34,7.17,7.22,7678673,7.43,7.28,1,3.0,0.8555591225048442,7.27,0.006925207756232732,7.636
2019-06-06,6.31,6.4,6.16,6.29,22532628,6.34,6.36,1,3.0,0.37658109300878384,6.45,0.025437201907790197,9.134
2019-08-05,6.34,6.39,6.27,6.27,12576359,6.39,6.36,1,3.0,0.20778835241254812,6.33,0.009569377990430672,6.31
2020-02-03,6.23,6.47,6.23,6.32,59444182,7.16,6.92,1,3.0,1.0756433661378986,6.72,0.06329113924050622,6.908
2020-05-25,6.33,6.34,6.18,6.29,20800515,6.5,6.34,1,3.0,0.6520834815283407,6.31,0.0031796502384737746,6.4
2020-05-26,6.26,6.3,6.21,6.28,14395425,6.33,6.29,1,3.0,0.3673371361017632,6.31,0.004777070063694211,6.396
2020-09-25,6.86,6.9,6.78,6.8,13076459,6.97,6.86,1,3.0,0.4153080605086481,6.86,0.008823529411764675,6.988
2022-02-25,6.76,6.8,6.72,6.73,7252661,6.84,6.75,1,3.0,0.8722526469940786,6.81,0.011887072808320909,6.78
