day,open,high,low,close,volume,pre_open,pre_close,vol_chg,down,down_cnt,volatility,vol_0.1,vol_test,high_max,positive_return
2017-10-13,21.21,22.3,21.21,22.3,72925368,21.15,21.2,3.4309734080961514,0,1.0,21773339.32556062,7860879.6719947755,True,23.85,0.12446958981612455
2018-01-26,18.3,18.63,17.7,17.87,58616523,18.5,18.49,0.6121437932742717,1,2.0,10429771.684455534,6136390.306636906,True,20.15,0.10109289617486317
2018-03-20,20.71,21.85,20.6,21.68,37587753,20.84,20.97,0.6299139922886887,0,0.0,6012192.24579645,7794381.808113871,True,22.46,0.08450024142926127
2018-04-09,19.29,19.37,18.36,18.84,44285513,20.07,19.3,0.6400096314500172,1,1.0,8026519.903190251,4952750.38323416,True,21.19,0.09849663037843448
2018-11-13,12.57,12.73,12.25,12.6,80655788,12.48,12.91,1.150420175012711,0,1.0,19489597.639071804,6870341.076817038,True,13.17,0.04773269689737458
2018-12-03,12.1,12.2,11.82,11.99,76824860,11.03,11.48,0.8632503449535691,0,0.0,15726314.034905775,7029004.658650573,True,11.96,-0.01157024793388417
2018-12-25,9.58,9.6,9.14,9.39,73060789,9.8,9.85,1.2011825036863986,1,0.0,16928131.086488765,6918274.469200169,True,9.43,-0.01565762004175364
2019-03-12,14.94,16.0,14.74,15.8,232372545,14.44,14.82,0.6863204875441156,0,1.0,36290177.11831539,18482753.35569688,True,15.73,0.05287817938420347
2019-06-11,7.8,8.25,7.7,8.19,142231468,7.76,7.84,0.8706809489835072,0,1.0,28655227.929833185,14511369.794324784,True,8.19,0.050000000000000044
2019-07-01,8.12,8.62,8.04,8.62,164904911,7.99,7.84,1.507912975000198,0,1.0,44037415.08190808,16537809.484970804,True,9.39,0.15640394088669973
2019-11-04,11.36,12.07,11.27,11.92,180452489,11.08,11.25,0.84550097255895,0,0.0,36622935.74052264,8604833.977597985,True,13.45,0.1839788732394365
2020-01-15,15.78,16.96,15.71,16.76,220502306,16.34,15.89,0.576615035197366,0,0.0,32402513.53509148,27310325.00770791,True,19.2,0.21673003802281365
2020-06-01,14.36,15.46,14.35,15.33,168773430,14.2,14.18,2.2230776223234026,0,2.0,45050042.26753864,16278487.258333433,True,17.44,0.21448467966573825
2020-09-17,14.54,15.05,14.34,14.92,78399226,14.85,14.67,0.7650141431034014,0,1.0,17660744.339311242,18421039.152217362,True,15.39,0.05845942228335632
2020-10-09,14.73,15.12,14.67,15.12,64462695,14.56,14.41,1.2151846448967953,0,0.0,14841813.300679855,9391463.542112902,True,15.65,0.062457569585879114
2020-10-28,15.43,16.38,15.36,16.25,156335610,15.27,15.45,1.8272433980774099,0,0.0,50843442.395179965,7885506.829780783,True,17.28,0.11989630589760214
2020-12-02,15.49,15.96,15.46,15.81,66394245,15.31,15.49,0.7427870840933533,0,0.0,15128162.886733297,8229130.9779114155,True,16.45,0.06197546804389931
2020-12-28,13.76,13.77,13.04,13.05,69575803,14.01,13.83,0.9882549001666086,1,1.0,15271772.458164154,8487456.865239795,True,14.25,0.03561046511627919
2021-03-08,11.11,11.4,11.08,11.16,61296791,10.86,11.06,0.8392894473900121,0,0.0,10764634.261600757,7708491.889671127,True,11.26,0.013501350135013634
2021-05-13,8.32,8.65,8.29,8.53,47505775,8.34,8.41,0.7227609839678681,0,0.0,9229609.129748749,8753455.406716825,True,8.87,0.06610576923076916
2021-05-25,8.5,8.85,8.42,8.78,69627065,8.59,8.5,1.163249517318392,0,1.0,17177131.475563083,8151253.907134037,True,9.13,0.07411764705882362
2021-09-24,8.25,8.45,8.21,8.27,46016041,8.25,8.23,0.653308376121428,0,0.0,6812392.109152389,3773471.303329381,True,8.61,0.04363636363636347
2021-12-22,8.85,9.69,8.83,9.69,157559274,8.53,8.81,2.074182016217692,0,2.0,47158636.43762094,9663875.265385067,True,10.38,0.17288135593220355
2022-04-07,7.09,7.12,6.97,6.98,22000891,7.06,7.09,0.5003794783405466,0,1.0,2768477.0678361286,2252880.521053524,True,6.99,-0.014104372355430161
