day,open,high,low,close,volume,pre_open,pre_close,vol_chg,down,down_cnt,volatility,vol_0.1,vol_test,high_max,positive_return
2017-10-19,125.5,126.86,115.0,115.78,4161451,127.13,126.44,1.3418947764129618,1,2.0,1029983.9421338093,358202.6069750903,True,174.44,0.3899601593625497
2018-08-23,103.0,108.4,102.63,107.72,6350591,104.88,103.57,0.7384038722011566,0,0.0,1118770.1196686134,696582.2896161287,True,116.99,0.13582524271844654
2018-10-09,77.11,78.75,72.39,74.45,9168072,85.0,79.86,0.8099907625651521,1,1.0,2213043.5712964893,705682.6285136561,True,77.65,0.007002982751912912
2018-12-03,78.5,80.69,77.22,79.46,9008292,73.0,75.34,0.6633083992874298,0,0.0,1596984.2207319112,1136357.1391928212,True,80.25,0.022292993630573354
2018-12-12,77.77,77.99,72.0,72.02,7752973,76.69,77.13,2.178798940369329,0,0.0,2210312.757496148,1323607.7784236565,True,73.43,-0.05580558055805562
2018-12-25,66.64,66.98,64.22,66.8,4149545,66.5,67.61,0.6170918460796226,0,1.0,718129.489483849,1013092.0927228421,True,67.68,0.015606242496998934
2019-01-21,62.1,67.45,61.32,67.45,13275615,60.6,61.32,2.2063031913737414,0,0.0,4144096.0943597476,709532.3254514528,True,75.6,0.21739130434782594
2019-04-16,99.5,104.0,96.3,103.3,6652438,105.0,99.34,0.6599265907622134,0,2.0,1150978.37121912,727861.4024302482,True,105.97,0.06502512562814067
2019-06-11,76.07,78.38,74.3,78.3,5910730,74.6,76.03,0.9618518390670305,0,1.0,1470455.4550790477,1079332.8031961059,True,87.5,0.1502563428421193
2019-07-10,89.93,94.58,89.77,92.98,5905132,89.63,88.49,0.9234105590110666,0,1.0,1156568.9281252644,898269.318531927,True,104.5,0.16201490047814948
2020-06-01,197.01,209.45,196.0,206.3,14585342,194.0,193.39,0.8601529383541788,0,1.0,2547541.836138767,1874318.7496049313,True,237.88,0.20745139840617233
2020-08-26,202.0,202.0,191.22,191.27,14780816,207.0,205.8,1.4922397489957402,1,0.0,3957870.551437203,1128614.1147630357,True,207.77,0.0285643564356437
2020-09-17,178.5,183.2,175.0,180.75,7792867,179.88,178.78,0.5048293236050401,0,0.0,1337102.8483492725,1145790.3615552431,True,184.88,0.03574229691876751
2020-10-09,176.0,179.99,175.3,179.82,6551178,175.0,173.11,0.8242943965247176,0,1.0,1185571.006988094,1119715.601119696,True,191.88,0.0902272727272726
2021-03-15,168.0,168.0,152.1,153.37,13216596,173.95,169.0,1.313933942756178,1,1.0,3252974.706758794,1738105.7656923935,True,176.69,0.05172619047619054
2021-04-01,171.5,176.64,170.88,175.03,6904490,169.6,170.88,0.6240138473577659,0,1.0,1088861.8990444466,1039609.2555621554,True,187.07,0.09078717201166175
2021-07-21,174.0,185.93,172.06,184.04,23431613,169.87,172.8,1.1292080427455207,0,1.0,4956630.511200133,3073523.3979264284,True,235.13,0.3513218390804598
2021-08-13,182.5,183.99,171.48,172.41,33027063,184.51,188.27,0.9546026107598635,1,1.0,6730396.511126167,2954747.8633754635,True,179.63,-0.015726027397260256
2021-11-11,164.8,169.18,161.13,164.56,19608437,163.0,166.2,0.5144769196868575,0,1.0,2657398.2097728313,2560566.465578404,True,168.98,0.025364077669902674
2021-12-22,167.98,175.0,167.98,171.08,15862196,165.69,166.23,0.5176362519038389,0,2.0,2239859.7617479544,2227555.0828296533,True,181.08,0.0779854744612456
2021-12-30,164.94,181.08,164.38,176.47,22836351,170.0,165.0,0.88948494951067,0,0.0,5297102.984995627,2116667.6189582986,True,178.9,0.08463683763792895
2022-01-25,160.1,161.0,146.1,148.41,18536645,152.5,155.5,1.7938846260453154,0,1.0,4964220.959012421,1018230.5570996774,True,154.2,-0.036851967520299844
2022-06-28,132.49,140.38,130.4,139.98,21992658,132.73,133.38,0.9269837648238903,0,0.0,4788571.270571639,1446014.120303529,True,,
