61,2019-12-02,1.89亿,102.11万,169.43万,-67.32万,1.00,0.00,0.54,-0.54,1.89亿
62,2019-11-29,1.89亿,177.02万,199.48万,-22.46万,1.54,1.40,1.96,-0.56,1.89亿
63,2019-11-28,1.90亿,316.23万,641.69万,-325.46万,2.10,1.80,1.00,0.80,1.90亿
64,2019-11-27,1.93亿,145.62万,134.67万,10.95万,1.30,1.30,0.30,1.00,1.93亿
65,2019-11-26,1.93亿,84.43万,461.97万,-377.54万,0.30,0.00,0.30,-0.30,1.93亿
66,2019-11-25,1.97亿,160.90万,134.12万,26.78万,0.60,0.60,0.40,0.20,1.97亿
67,2019-11-22,1.96亿,146.49万,331.50万,-185.01万,0.40,0.40,0.69,-0.29,1.96亿
68,2019-11-21,1.98亿,222.35万,95.71万,126.65万,0.69,0.00,0.31,-0.31,1.98亿
69,2019-11-20,1.97亿,73.73万,203.11万,-129.39万,1.00,0.00,0.20,-0.20,1.97亿
70,2019-11-19,1.98亿,156.10万,161.25万,-5.15万,1.20,0.00,0.00,0.00,1.98亿
71,2019-11-18,1.98亿,224.70万,80.44万,144.26万,1.20,0.00,0.00,0.00,1.98亿
72,2019-11-15,1.97亿,113.12万,234.47万,-121.35万,1.20,1.20,5.00,-3.80,1.97亿
73,2019-11-14,1.98亿,97.75万,35.32万,62.42万,5.00,1.00,0.00,1.00,1.98亿
74,2019-11-13,1.97亿,62.08万,92.77万,-30.69万,4.00,0.00,2.00,-2.00,1.98亿
75,2019-11-12,1.98亿,58.84万,319.64万,-260.80万,6.00,2.00,8.83,-6.83,1.98亿
76,2019-11-11,2.00亿,394.01万,384.85万,9.16万,12.83,2.33,0.61,1.72,2.01亿
77,2019-11-08,2.00亿,224.29万,527.65万,-303.36万,11.11,4.11,0.00,4.11,2.01亿
78,2019-11-07,2.03亿,154.95万,343.15万,-188.20万,7.00,0.00,2.00,-2.00,2.04亿
79,2019-11-06,2.05亿,398.12万,265.93万,132.19万,9.00,0.00,3.00,-3.00,2.06亿
80,2019-11-05,2.04亿,344.12万,710.71万,-366.60万,12.00,0.00,27.00,-27.00,2.04亿
81,2019-11-04,2.07亿,877.28万,555.53万,321.76万,39.00,25.00,3.00,22.00,2.10亿
82,2019-11-01,2.04亿,229.47万,447.11万,-217.64万,17.00,0.00,21.50,-21.50,2.05亿
83,2019-10-31,2.06亿,560.52万,291.01万,269.51万,38.50,23.50,3.00,20.50,2.09亿
84,2019-10-30,2.04亿,228.39万,245.94万,-17.56万,18.00,3.00,21.37,-18.37,2.05亿
85,2019-10-29,2.04亿,450.61万,711.57万,-260.96万,36.37,26.78,7.00,19.78,2.06亿
86,2019-10-28,2.06亿,372.17万,275.10万,97.07万,16.59,8.59,4.00,4.59,2.07亿
87,2019-10-25,2.05亿,222.02万,613.03万,-391.02万,12.00,0.00,41.14,-41.14,2.06亿
88,2019-10-24,2.09亿,731.89万,504.86万,227.03万,53.14,37.69,0.00,37.69,2.12亿
89,2019-10-23,2.07亿,162.25万,217.76万,-55.52万,15.45,3.00,8.00,-5.00,2.08亿
90,2019-10-22,2.08亿,259.09万,255.29万,3.80万,20.45,5.00,5.14,-0.14,2.09亿
91,2019-10-21,2.08亿,263.59万,258.74万,4.84万,20.59,0.00,13.23,-13.23,2.09亿
92,2019-10-18,2.08亿,663.28万,809.20万,-145.92万,33.82,14.82,4.88,9.94,2.10亿
93,2019-10-17,2.09亿,287.10万,569.46万,-282.37万,23.88,8.00,0.55,7.45,2.10亿
94,2019-10-16,2.12亿,576.47万,347.10万,229.37万,16.43,1.55,14.25,-12.70,2.13亿
95,2019-10-15,2.10亿,830.73万,766.03万,64.70万,29.13,6.28,10.50,-4.22,2.11亿
96,2019-10-14,2.09亿,1292.89万,1434.63万,-141.74万,33.35,17.60,12.00,5.60,2.11亿
97,2019-10-11,2.10亿,1279.35万,776.01万,503.35万,27.75,12.54,17.50,-4.96,2.12亿
98,2019-10-10,2.05亿,782.83万,401.60万,381.23万,32.71,21.71,6.40,15.31,2.07亿
99,2019-10-09,2.02亿,615.93万,990.47万,-374.54万,17.40,5.00,23.70,-18.70,2.03亿
100,2019-10-08,2.05亿,945.61万,700.21万,245.40万,36.10,25.10,3.00,22.10,2.07亿
101,2019-09-30,2.03亿,676.44万,622.22万,54.23万,14.00,1.00,6.60,-5.60,2.04亿
102,2019-09-27,2.02亿,1091.84万,838.39万,253.46万,19.60,0.00,14.00,-14.00,2.03亿
103,2019-09-26,2.00亿,991.29万,1321.45万,-330.15万,33.60,20.50,8.50,12.00,2.02亿
104,2019-09-25,2.03亿,655.54万,424.73万,230.81万,21.60,8.50,10.00,-1.50,2.04亿
105,2019-09-24,2.01亿,163.72万,419.46万,-255.74万,23.10,4.79,24.93,-20.14,2.02亿
106,2019-09-23,2.03亿,343.15万,270.90万,72.25万,43.24,34.65,0.00,34.65,2.06亿
107,2019-09-20,2.03亿,154.57万,169.35万,-14.78万,8.59,0.00,3.00,-3.00,2.03亿
108,2019-09-19,2.03亿,420.22万,331.02万,89.20万,11.59,0.00,15.00,-15.00,2.03亿
109,2019-09-18,2.02亿,552.00万,466.13万,85.87万,26.59,0.00,26.30,-26.30,2.03亿
110,2019-09-17,2.01亿,917.76万,1276.16万,-358.40万,52.89,39.29,0.00,39.29,2.04亿
111,2019-09-16,2.05亿,448.07万,300.13万,147.93万,13.60,3.00,13.00,-10.00,2.05亿
112,2019-09-12,2.03亿,513.24万,331.78万,181.46万,23.60,13.00,0.00,13.00,2.04亿
113,2019-09-11,2.01亿,365.94万,352.21万,13.73万,10.60,0.00,0.00,0.00,2.02亿
