day,open,high,low,close,volume
2019-12-19,44.800,48.990,43.520,46.170,19568080
2019-12-20,47.280,50.760,43.840,44.650,13592109
2019-12-23,41.000,41.380,38.800,39.390,9496256
2019-12-24,39.460,41.560,39.460,40.180,5642014
2019-12-25,39.860,40.350,38.260,39.540,6009840
2019-12-26,39.570,39.910,38.400,38.610,4791230
2019-12-27,38.500,39.300,38.400,38.600,3302487
2019-12-30,38.600,38.600,36.610,37.060,3671007
2019-12-31,36.810,37.680,36.800,37.220,1904673
2020-01-02,37.650,37.960,37.230,37.940,2269864
2020-01-03,38.000,38.150,37.600,37.800,2539489
2020-01-06,37.200,38.410,37.050,37.910,2945721
2020-01-07,38.130,38.430,37.680,38.410,2928557
2020-01-08,38.020,39.270,38.020,38.460,3792274
2020-01-09,38.740,39.220,38.400,38.970,2851738
2020-01-10,39.000,39.690,38.560,39.390,3357215
2020-01-13,39.400,39.760,39.110,39.710,2289897
2020-01-14,39.770,40.250,39.400,39.720,2805423
2020-01-15,39.480,39.720,38.790,38.920,2417853
2020-01-16,38.870,40.060,38.870,39.800,3108147
2020-01-17,39.940,42.020,39.850,41.300,5273772
2020-01-20,41.060,42.880,40.200,42.300,4810437
2020-01-21,41.750,42.080,40.250,40.300,3526976
2020-01-22,39.950,40.570,37.510,39.730,2979458
2020-01-23,39.000,39.800,37.590,37.980,2864642
2020-02-03,32.000,32.000,30.380,30.380,2712707
2020-02-04,28.910,32.970,28.910,32.200,4011132
2020-02-05,32.210,34.740,32.000,34.730,4006503
2020-02-06,34.350,36.140,33.780,35.400,3867997
2020-02-07,35.110,37.600,34.800,37.600,4659801
2020-02-10,36.960,38.500,36.600,37.650,3261519
2020-02-11,37.640,37.640,35.020,35.020,3055198
2020-02-12,35.100,35.850,34.570,35.630,2799139
2020-02-13,35.730,37.480,35.470,36.620,3606050
2020-02-14,36.200,37.130,35.700,36.110,2613667
2020-02-17,35.900,38.490,35.900,38.460,3953971
2020-02-18,38.130,38.890,37.200,38.500,3541716
2020-02-19,38.520,40.780,38.030,38.890,4465588
2020-02-20,39.010,40.960,38.390,40.380,5792750
2020-02-21,39.410,39.780,38.250,38.610,4385938
2020-02-24,38.050,38.050,36.280,36.940,3660886
2020-02-25,35.850,37.100,35.510,36.750,2669607
2020-02-26,36.180,36.900,35.680,35.730,2020734
2020-02-27,36.090,37.090,35.800,36.300,2088651
2020-02-28,34.800,34.910,32.520,33.050,3052175
2020-03-02,33.500,34.680,33.500,34.440,1776952
2020-03-03,34.520,35.980,34.520,35.010,1900844
2020-03-04,34.790,35.490,34.550,35.350,1270193
2020-03-05,35.620,37.920,35.620,37.130,4001730
2020-03-06,36.900,37.820,36.430,36.900,2281330
2020-03-09,35.980,36.100,34.480,34.510,2348931
2020-03-10,33.010,38.900,33.010,37.110,3286497
2020-03-11,36.950,37.570,35.660,35.860,2321207
2020-03-12,35.030,35.590,34.480,34.660,1340602
2020-03-13,32.860,35.000,32.510,34.380,1680890
2020-03-16,34.680,34.790,32.560,32.790,1387808
2020-03-17,32.860,33.860,31.580,32.950,1180156
2020-03-18,33.230,33.800,31.900,32.030,1231790
2020-03-19,32.080,32.480,31.460,32.100,1073369
2020-03-20,32.390,32.890,32.020,32.530,969841
2020-03-23,32.000,33.200,31.660,32.630,1690316
2020-03-24,33.020,33.940,32.630,33.770,1568767
2020-03-25,34.550,34.970,33.780,33.950,1446196
2020-03-26,33.800,34.460,33.400,33.610,1041586
2020-03-27,33.800,34.090,32.800,32.830,1002188
2020-03-30,32.600,32.600,31.120,31.470,991103
