day,open,high,low,close,volume
2017-09-22,6.590,6.610,6.540,6.550,5087008
2017-09-25,6.540,6.560,6.410,6.430,5653330
2017-09-26,6.420,6.460,6.410,6.430,3672897
2017-09-27,6.430,6.450,6.400,6.420,3253497
2017-09-28,6.420,6.440,6.380,6.380,4923400
2017-09-29,6.390,6.420,6.380,6.380,4066108
2017-10-09,6.430,6.520,6.430,6.480,6228400
2017-10-10,6.480,6.580,6.460,6.540,6046905
2017-10-11,6.540,6.740,6.530,6.680,12958860
2017-10-12,6.640,6.690,6.570,6.640,9446109
2017-10-13,6.650,6.820,6.630,6.760,20951214
2017-10-16,6.750,6.750,6.560,6.580,10904101
2017-10-17,6.580,6.650,6.530,6.630,5312192
2017-10-18,6.600,6.630,6.510,6.530,5462267
2017-10-19,6.500,6.530,6.400,6.420,5020861
2017-10-20,6.430,6.470,6.400,6.470,3139100
2017-10-23,6.460,6.500,6.440,6.490,3646800
2017-10-24,6.460,6.480,6.380,6.400,4640875
2017-10-25,6.390,6.430,6.380,6.430,3719601
2017-10-26,6.430,6.470,6.410,6.460,3634905
2017-10-27,6.450,6.480,6.390,6.390,3181286
2017-10-30,6.390,6.420,6.140,6.160,9129004
2017-10-31,6.170,6.200,6.150,6.180,4139465
2017-11-01,6.180,6.230,6.170,6.180,2893300
2017-11-02,6.190,6.210,6.080,6.110,4042200
2017-11-03,6.110,6.150,6.020,6.070,3705132
2017-11-06,6.080,6.100,6.030,6.090,2584133
2017-11-07,6.090,6.150,6.050,6.150,2706932
2017-11-08,6.140,6.190,6.080,6.130,3634200
2017-11-09,6.150,6.230,6.150,6.180,4124200
2017-11-10,6.160,6.180,6.110,6.140,3130461
2017-11-13,6.130,6.180,6.090,6.140,3831700
2017-11-14,6.140,6.150,6.030,6.050,4655527
2017-11-15,6.050,6.080,6.010,6.030,3820679
2017-11-16,6.030,6.060,5.990,6.000,3071559
2017-11-17,6.000,6.010,5.770,5.790,7907509
2017-11-20,5.770,5.800,5.690,5.790,4167696
2017-11-21,5.790,5.820,5.760,5.800,3264442
2017-11-22,5.810,5.820,5.750,5.790,3718600
2017-11-23,5.780,5.800,5.600,5.640,4138600
2017-11-24,5.640,5.660,5.610,5.640,2603661
2017-11-27,5.650,5.680,5.610,5.620,2573032
2017-11-28,5.620,5.680,5.610,5.670,1953049
2017-11-29,5.690,5.690,5.630,5.680,2862201
2017-11-30,5.670,5.710,5.640,5.640,2963501
2017-12-01,5.650,5.710,5.620,5.700,3065242
2017-12-04,5.700,5.700,5.580,5.590,3332700
2017-12-05,5.580,5.590,5.410,5.430,6514700
2017-12-06,5.410,5.460,5.410,5.460,2822601
2017-12-07,5.450,5.520,5.440,5.460,3605601
2017-12-08,5.460,5.520,5.450,5.510,2579901
2017-12-11,5.500,5.550,5.490,5.530,2671100
2017-12-12,5.510,5.530,5.460,5.480,3018800
2017-12-13,5.460,5.500,5.460,5.500,2183353
2017-12-14,5.500,5.520,5.470,5.500,2872200
2017-12-15,5.500,5.540,5.460,5.530,3590400
2017-12-18,5.530,5.580,5.490,5.530,3761400
2017-12-19,5.520,5.560,5.510,5.540,3061500
2017-12-20,5.540,5.560,5.440,5.460,2848300
2017-12-21,5.460,5.470,5.360,5.420,3081600
2017-12-22,5.420,5.450,5.400,5.420,2301105
